date,vent_used
05/03/2020,1
06/03/2020,1
07/03/2020,1
08/03/2020,1
09/03/2020,1
10/03/2020,1
11/03/2020,2
12/03/2020,2
13/03/2020,2
14/03/2020,2
15/03/2020,4
16/03/2020,5
17/03/2020,5
18/03/2020,6
19/03/2020,12
20/03/2020,15
21/03/2020,15
22/03/2020,29
23/03/2020,31
24/03/2020,34
25/03/2020,37
26/03/2020,38
27/03/2020,43
28/03/2020,59
29/03/2020,63
30/03/2020,66
31/03/2020,76
01/04/2020,81
02/04/2020,87
03/04/2020,96
04/04/2020,108
05/04/2020,106
06/04/2020,109
07/04/2020,117
08/04/2020,122
09/04/2020,121
10/04/2020,124
11/04/2020,129
12/04/2020,131
