,cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
0,אבו קורינאת (שבט),קטן מ-15,אין מידע,25,37.53,7.66,אדום,6661
1,אבו רוקייק (שבט),קטן מ-15,אין מידע,26,25.44,5.72,צהוב,10222
2,אבו תלול,קטן מ-15,אין מידע,18,84.39,6.2,כתום,2133
3,אום אל-פחם,18,37.50,48,8.46,3.21,ירוק,56713
4,אום בטין,קטן מ-15,אין מידע,22,49.1,7.74,אדום,4481
5,אור יהודה,27,75.00,36,9.84,5.04,צהוב,36587
6,אל סייד,קטן מ-15,אין מידע,22,36.31,7.23,כתום,6059
7,אלעד,קטן מ-15,אין מידע,16,3.25,2.1,ירוק,49179
8,אעצם (שבט),קטן מ-15,אין מידע,30,27.64,7.66,אדום,10853
9,אשדוד,28,57.14,49,2.16,2.61,ירוק,226329
10,אשקלון,25,73.53,34,2.32,1.69,ירוק,146442
11,באר שבע,53,50.48,105,4.99,2.45,ירוק,210624
12,בית ג'ן,קטן מ-15,אין מידע,19,15.61,5.08,צהוב,12169
13,בית שאן,קטן מ-15,אין מידע,17,8.96,3.5,ירוק,18980
14,בית שמש,23,32.39,71,5.37,4.16,ירוק,132210
15,ביתר עילית,קטן מ-15,אין מידע,29,4.73,2.42,ירוק,61297
16,בני ברק,18,26.47,68,3.27,3.55,ירוק,208031
17,בת ים,26,47.27,55,4.3,3.45,ירוק,127772
18,ג'דיידה-מכר,קטן מ-15,אין מידע,16,7.5,3.13,ירוק,21331
19,גבעת זאב,21,30.43,69,35.93,6.13,כתום,19205
20,גבעתיים,קטן מ-15,אין מידע,22,3.61,3.18,ירוק,60872
21,דימונה,קטן מ-15,אין מידע,30,8.58,3.24,ירוק,34954
22,הרצליה,19,82.61,23,2.32,1.25,ירוק,99208
23,זמר,קטן מ-15,אין מידע,19,26.3,5.85,צהוב,7223
24,זרזיר,קטן מ-15,אין מידע,25,30.2,4.55,צהוב,8279
25,חולון,26,35.14,74,3.77,4.64,צהוב,196510
26,חורה,28,29.79,94,40.76,5.99,צהוב,23062
27,חיפה,42,64.62,65,2.28,2.33,ירוק,284981
28,חריש,קטן מ-15,אין מידע,77,39.27,7.59,אדום,19608
29,טייבה,קטן מ-15,אין מידע,25,5.61,2.56,ירוק,44582
30,יבנה,קטן מ-15,אין מידע,103,20.7,8.65,אדום,49759
31,יפיע,קטן מ-15,אין מידע,24,12.44,5.64,צהוב,19298
32,ירושלים,311,28.48,1092,11.46,4.96,צהוב,952916
33,כסיפה,30,50.85,59,26.32,6.13,כתום,22418
34,כפר קרע,קטן מ-15,אין מידע,18,9.31,3.65,ירוק,19330
35,כרמיאל,18,85.71,21,4.55,3.37,ירוק,46190
36,לוד,קטן מ-15,אין מידע,53,6.56,3.46,ירוק,80786
37,מג'דל שמס,קטן מ-15,אין מידע,20,17.79,4.73,צהוב,11244
38,מגדל העמק,קטן מ-15,אין מידע,18,6.98,4.62,צהוב,25790
39,מודיעין עילית,קטן מ-15,אין מידע,55,6.98,4.65,צהוב,78775
40,מודיעין-מכבים-רעות,20,40.00,50,5.28,4.55,צהוב,94744
41,מסעדה,17,65.38,26,69.24,8.23,אדום,3755
42,מסעודין אל-עזאזמה,קטן מ-15,אין מידע,17,9.54,3.29,ירוק,17828
43,נוף הגליל,קטן מ-15,אין מידע,23,5.48,3.0,ירוק,41950
44,נצרת,28,51.85,54,6.95,2.95,ירוק,77734
45,נתיבות,קטן מ-15,אין מידע,18,4.56,2.81,ירוק,39456
46,נתניה,32,82.05,39,1.74,1.35,ירוק,223562
47,עיילבון,20,17.09,117,202.39,8.2,אדום,5781
48,עכו,17,54.84,31,6.26,1.9100000000000001,ירוק,49517
49,ערד,15,48.39,31,11.41,3.18,ירוק,27170
50,ערערה-בנגב,קטן מ-15,אין מידע,18,9.51,4.07,ירוק,18937
51,פוריידיס,קטן מ-15,אין מידע,35,26.04,6.58,כתום,13439
52,פרדס חנה-כרכור,קטן מ-15,אין מידע,18,4.12,3.32,ירוק,43646
53,פתח תקווה,55,46.22,119,4.75,3.59,ירוק,250427
54,צור הדסה,קטן מ-15,אין מידע,44,38.01,7.55,אדום,11575
55,צפת,קטן מ-15,אין מידע,16,4.39,2.45,ירוק,36423
56,קצר א-סר,16,29.63,54,208.98,10.0,אדום,2584
57,קרית ארבע,קטן מ-15,אין מידע,22,29.95,3.88,ירוק,7346
58,קרית אתא,קטן מ-15,אין מידע,25,4.22,3.11,ירוק,59291
59,קרית מוצקין,קטן מ-15,אין מידע,27,5.94,4.59,צהוב,45461
60,קרני שומרון,קטן מ-15,אין מידע,40,42.14,6.42,כתום,9492
61,ראש העין,קטן מ-15,אין מידע,52,7.72,5.0,צהוב,67337
62,ראשון לציון,35,64.81,54,2.11,3.84,ירוק,255891
63,רהט,45,57.69,78,10.59,3.7199999999999998,ירוק,73671
64,רחובות,38,43.18,88,6.02,2.84,ירוק,146213
65,רמלה,קטן מ-15,אין מידע,46,5.98,4.48,ירוק,76903
66,רמת גן,24,61.54,39,2.34,2.58,ירוק,166746
67,רמת השרון,קטן מ-15,אין מידע,22,4.63,2.8,ירוק,47482
68,שגב-שלום,קטן מ-15,אין מידע,16,14.12,4.2,ירוק,11328
69,שדרות,קטן מ-15,אין מידע,43,14.88,6.64,כתום,28899
70,שפרעם,קטן מ-15,אין מידע,22,5.19,3.99,ירוק,42400
71,תל אביב - יפו,83,70.34,118,2.36,3.34,ירוק,501015
72,תל שבע,16,20.78,77,35.76,6.65,כתום,21531
