date,ecmo
21/04/2020,5
22/04/2020,5
25/04/2020,5
28/04/2020,5
01/05/2020,5
02/05/2020,5
03/05/2020,5
06/07/2020,0
09/07/2020,2
15/07/2020,3
16/07/2020,3
08/08/2020,14
09/08/2020,15
14/08/2020,18
11/09/2020,19
20/09/2020,16
22/09/2020,14
23/09/2020,13
24/09/2020,13
25/09/2020,
26/09/2020,
27/09/2020,17
28/09/2020,
29/09/2020,17
30/09/2020,16
01/10/2020,15
02/10/2020,
03/10/2020,
04/10/2020,13
05/10/2020,
06/10/2020,15
07/10/2020,14
08/10/2020,
09/10/2020,
10/10/2020,
11/10/2020,15
12/10/2020,16
13/10/2020,
14/10/2020,19
15/10/2020,20
16/10/2020,20
17/10/2020,
18/10/2020,18
19/10/2020,17
20/10/2020,17
21/10/2020,
22/10/2020,
23/10/2020,
24/10/2020,22
25/10/2020,
26/10/2020,
27/10/2020,22
28/10/2020,
29/10/2020,
30/10/2020,22
31/10/2020,
01/11/2020,19
02/11/2020,19
03/11/2020,21
04/11/2020,21
05/11/2020,
06/11/2020,
07/11/2020,17
08/11/2020,15
09/11/2020,15
10/11/2020,18
11/11/2020,16
12/11/2020,14
13/11/2020,
14/11/2020,
15/11/2020,12
16/11/2020,12
17/11/2020,13
18/11/2020,15
19/11/2020,14
20/11/2020,
21/11/2020,14
22/11/2020,12
23/11/2020,11
24/11/2020,11
25/11/2020,10
26/11/2020,10
27/11/2020,
28/11/2020,9
29/11/2020,
30/11/2020,10
01/12/2020,
02/12/2020,
03/12/2020,8
04/12/2020,
05/12/2020,
06/12/2020,7
07/12/2020,6
08/12/2020,6
09/12/2020,
10/12/2020,6
11/12/2020,
12/12/2020,6
13/12/2020,7
14/12/2020,7
15/12/2020,6
16/12/2020,7
17/12/2020,8
18/12/2020,7
19/12/2020,7
20/12/2020,8
21/12/2020,8
22/12/2020,8
23/12/2020,
24/12/2020,9
25/12/2020,11
26/12/2020,11
27/12/2020,11
28/12/2020,13
29/12/2020,13
30/12/2020,
31/12/2020,13
01/01/2021,13
02/01/2021,14
03/01/2021,16
04/01/2021,19
05/01/2021,19
06/01/2021,22
07/01/2021,21
10/01/2021,22
11/01/2021,22
12/01/2021,22
13/01/2021,23
14/01/2021,27
