,day_date,age_group,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,new_Serious_amount_boost_vaccinated,new_serious_amount_vaccinated,new_serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized,new_Serious_boost_vaccinated_normalized,new_serious_vaccinated_normalized,new_serious_not_vaccinated_normalized
0,2021-01-20T00:00:00.000Z,מתחת לגיל 60,0,2,224,0,0,30,0.0,4.7,2.9,0.0,0.0,0.4
1,2021-01-20T00:00:00.000Z,כלל האוכלוסיה,0,3,766,0,1,92,0.0,2.5,8.4,0.0,0.8,1.0
2,2021-01-20T00:00:00.000Z,מעל גיל 60,0,1,542,0,1,62,0.0,1.3,37.1,0.0,1.3,4.2
3,2021-01-21T00:00:00.000Z,מתחת לגיל 60,0,3,227,0,1,38,0.0,5.0,3.0,0.0,1.7000000000000002,0.5
4,2021-01-21T00:00:00.000Z,מעל גיל 60,0,3,513,0,2,54,0.0,2.3,36.5,0.0,1.6,3.8
5,2021-01-21T00:00:00.000Z,כלל האוכלוסיה,0,6,740,0,3,92,0.0,3.2,8.2,0.0,1.6,1.0
6,2021-01-22T00:00:00.000Z,מתחת לגיל 60,0,3,233,0,0,34,0.0,4.5,3.1,0.0,0.0,0.4
7,2021-01-22T00:00:00.000Z,מעל גיל 60,0,4,494,0,1,49,0.0,2.6,36.0,0.0,0.6000000000000001,3.6
8,2021-01-22T00:00:00.000Z,כלל האוכלוסיה,0,7,727,0,1,83,0.0,3.1,8.1,0.0,0.4,0.9
9,2021-01-23T00:00:00.000Z,מתחת לגיל 60,0,3,242,0,0,30,0.0,4.2,3.2,0.0,0.0,0.4
10,2021-01-23T00:00:00.000Z,מעל גיל 60,0,5,495,0,2,46,0.0,2.8,36.7,0.0,1.1,3.4
11,2021-01-23T00:00:00.000Z,כלל האוכלוסיה,0,8,737,0,2,76,0.0,3.2,8.2,0.0,0.8,0.8
12,2021-01-24T00:00:00.000Z,מתחת לגיל 60,0,4,253,0,0,40,0.0,4.3,3.3,0.0,0.0,0.5
13,2021-01-24T00:00:00.000Z,מעל גיל 60,0,5,491,0,2,49,0.0,2.1,38.3,0.0,0.8,3.8
14,2021-01-24T00:00:00.000Z,כלל האוכלוסיה,0,9,744,0,2,89,0.0,2.7,8.4,0.0,0.6000000000000001,1.0
15,2021-01-25T00:00:00.000Z,מתחת לגיל 60,0,4,237,0,0,36,0.0,3.0,3.2,0.0,0.0,0.5
16,2021-01-25T00:00:00.000Z,כלל האוכלוסיה,0,8,720,0,1,109,0.0,1.8,8.3,0.0,0.2,1.3
17,2021-01-25T00:00:00.000Z,מעל גיל 60,0,4,482,0,1,72,0.0,1.2,40.2,0.0,0.30000000000000004,6.0
18,2021-01-26T00:00:00.000Z,כלל האוכלוסיה,0,9,734,0,3,99,0.0,1.5,8.6,0.0,0.5,1.2
19,2021-01-26T00:00:00.000Z,מתחת לגיל 60,0,3,259,0,0,49,0.0,1.7000000000000002,3.5,0.0,0.0,0.7000000000000001
