,age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
0,12-15,0,527,4759,0.0,225.8,1595.0,0,0,4,0.0,0.0,1.3
1,16-19,2,3625,2035,53.9,888.6,1389.1,0,0,2,0.0,0.0,1.4
2,20-29,73,9494,3471,220.1,980.5,1307.9,0,0,10,0.0,0.0,3.8
3,30-39,341,8326,3073,186.1,1053.1,1608.3,0,6,30,0.0,0.8,15.7
4,40-49,741,5885,2111,215.2,1000.2,1439.8,3,14,55,0.9,2.4,37.5
5,50-59,610,2629,1160,147.9,770.1,1149.6,6,31,62,1.5,9.1,61.4
6,60-69,481,1273,774,98.7,704.8,1143.9,14,48,94,2.9,26.6,138.9
7,70-79,368,647,374,96.7,705.7,773.3,20,59,70,5.3,64.4,144.7
8,80-89,273,440,230,165.1,949.7,1001.1,22,36,39,13.3,77.7,169.7
9,90+,79,132,73,239.4,886.0,815.1,7,9,19,21.2,60.4,212.1
