,day_date,age_group,verified_amount_boost_vaccinated,verified_amount_vaccinated,verified_amount_not_vaccinated,verified_boost_vaccinated_normalized,verified_vaccinated_normalized,verified_not_vaccinated_normalized
0,2021-01-20T00:00:00.000Z,כלל האוכלוסיה,0,17,7161,0.0,14.3,78.5
1,2021-01-20T00:00:00.000Z,מעל גיל 60,0,9,326,0.0,11.9,22.3
2,2021-01-20T00:00:00.000Z,מתחת לגיל 60,0,8,6782,0.0,18.8,88.5
3,2021-01-21T00:00:00.000Z,מעל גיל 60,0,10,298,0.0,7.8,21.2
4,2021-01-21T00:00:00.000Z,כלל האוכלוסיה,0,25,6261,0.0,13.3,69.3
5,2021-01-21T00:00:00.000Z,מתחת לגיל 60,0,15,5915,0.0,25.2,77.5
6,2021-01-22T00:00:00.000Z,כלל האוכלוסיה,0,26,6321,0.0,11.6,70.3
7,2021-01-22T00:00:00.000Z,מעל גיל 60,0,17,253,0.0,10.8,18.4
8,2021-01-22T00:00:00.000Z,מתחת לגיל 60,0,8,6034,0.0,12.0,79.2
9,2021-01-23T00:00:00.000Z,כלל האוכלוסיה,0,12,2012,0.0,4.8,22.5
10,2021-01-23T00:00:00.000Z,מעל גיל 60,0,7,123,0.0,3.9,9.1
11,2021-01-23T00:00:00.000Z,מתחת לגיל 60,0,5,1872,0.0,7.1,24.6
12,2021-01-24T00:00:00.000Z,מתחת לגיל 60,0,8,3865,0.0,8.6,51.1
13,2021-01-24T00:00:00.000Z,מעל גיל 60,0,21,194,0.0,8.7,15.1
14,2021-01-24T00:00:00.000Z,כלל האוכלוסיה,0,29,4101,0.0,8.7,46.3
15,2021-01-25T00:00:00.000Z,מתחת לגיל 60,0,23,7039,0.0,17.5,93.6
16,2021-01-25T00:00:00.000Z,מעל גיל 60,0,49,323,0.0,15.2,26.9
17,2021-01-25T00:00:00.000Z,כלל האוכלוסיה,0,72,7405,0.0,15.8,84.9
18,2021-01-26T00:00:00.000Z,כלל האוכלוסיה,0,95,6599,0.0,16.0,77.0
19,2021-01-26T00:00:00.000Z,מתחת לגיל 60,0,30,6246,0.0,16.8,83.7
20,2021-01-26T00:00:00.000Z,מעל גיל 60,0,65,299,0.0,15.7,27.0
21,2021-01-27T00:00:00.000Z,מעל גיל 60,0,74,262,0.0,14.8,25.8
22,2021-01-27T00:00:00.000Z,כלל האוכלוסיה,0,116,6442,0.0,15.8,76.5
23,2021-01-27T00:00:00.000Z,מתחת לגיל 60,0,42,6083,0.0,18.0,82.2
24,2021-01-28T00:00:00.000Z,מתחת לגיל 60,0,54,5553,0.0,17.7,75.8
25,2021-01-28T00:00:00.000Z,מעל גיל 60,0,119,273,0.0,20.0,29.6
26,2021-01-28T00:00:00.000Z,כלל האוכלוסיה,0,173,5868,0.0,19.2,71.2
27,2021-01-29T00:00:00.000Z,מעל גיל 60,0,91,204,0.0,14.4,23.1
28,2021-01-29T00:00:00.000Z,מתחת לגיל 60,0,40,5320,0.0,11.9,73.0
29,2021-01-29T00:00:00.000Z,כלל האוכלוסיה,0,131,5557,0.0,13.5,68.1
30,2021-01-30T00:00:00.000Z,מעל גיל 60,0,26,114,0.0,3.9,13.3
31,2021-01-30T00:00:00.000Z,כלל האוכלוסיה,0,38,2141,0.0,3.7,26.4
32,2021-01-30T00:00:00.000Z,מתחת לגיל 60,0,12,2012,0.0,3.3,27.7
33,2021-01-31T00:00:00.000Z,מתחת לגיל 60,0,44,3936,0.0,10.2,54.8
34,2021-01-31T00:00:00.000Z,כלל האוכלוסיה,0,103,4115,0.0,8.8,51.6
35,2021-01-31T00:00:00.000Z,מעל גיל 60,0,59,156,0.0,8.0,19.8
36,2021-02-01T00:00:00.000Z,מתחת לגיל 60,0,86,6937,0.0,17.0,97.4
37,2021-02-01T00:00:00.000Z,מעל גיל 60,0,129,285,0.0,16.1,39.2
38,2021-02-01T00:00:00.000Z,כלל האוכלוסיה,0,217,7264,0.0,16.6,92.5
39,2021-02-02T00:00:00.000Z,מעל גיל 60,0,132,287,0.0,15.4,42.7
40,2021-02-02T00:00:00.000Z,כלל האוכלוסיה,0,226,6531,0.0,15.8,84.3
