,day_date,age_group,verified_amount_boost_vaccinated,verified_amount_vaccinated,verified_amount_not_vaccinated,verified_boost_vaccinated_normalized,verified_vaccinated_normalized,verified_not_vaccinated_normalized
0,2021-01-20T00:00:00.000Z,כלל האוכלוסיה,0,17,7161,0.0,14.3,78.5
1,2021-01-20T00:00:00.000Z,מתחת לגיל 60,0,8,6781,0.0,18.8,88.5
2,2021-01-20T00:00:00.000Z,מעל גיל 60,0,9,326,0.0,11.9,22.3
3,2021-01-21T00:00:00.000Z,מתחת לגיל 60,0,15,5914,0.0,25.2,77.5
4,2021-01-21T00:00:00.000Z,מעל גיל 60,0,10,297,0.0,7.8,21.1
5,2021-01-21T00:00:00.000Z,כלל האוכלוסיה,0,25,6261,0.0,13.3,69.3
6,2021-01-22T00:00:00.000Z,מעל גיל 60,0,17,253,0.0,10.8,18.4
7,2021-01-22T00:00:00.000Z,כלל האוכלוסיה,0,26,6322,0.0,11.6,70.3
8,2021-01-22T00:00:00.000Z,מתחת לגיל 60,0,8,6035,0.0,12.0,79.3
9,2021-01-23T00:00:00.000Z,מתחת לגיל 60,0,5,1872,0.0,7.1,24.6
10,2021-01-23T00:00:00.000Z,מעל גיל 60,0,7,123,0.0,3.9,9.1
11,2021-01-23T00:00:00.000Z,כלל האוכלוסיה,0,12,2012,0.0,4.8,22.5
12,2021-01-24T00:00:00.000Z,כלל האוכלוסיה,0,29,4102,0.0,8.7,46.3
13,2021-01-24T00:00:00.000Z,מעל גיל 60,0,21,195,0.0,8.7,15.2
14,2021-01-24T00:00:00.000Z,מתחת לגיל 60,0,8,3866,0.0,8.6,51.1
15,2021-01-25T00:00:00.000Z,מעל גיל 60,0,49,323,0.0,15.2,26.9
16,2021-01-25T00:00:00.000Z,מתחת לגיל 60,0,23,7039,0.0,17.5,93.6
17,2021-01-25T00:00:00.000Z,כלל האוכלוסיה,0,72,7405,0.0,15.8,84.9
18,2021-01-26T00:00:00.000Z,כלל האוכלוסיה,0,95,6599,0.0,16.0,77.0
19,2021-01-26T00:00:00.000Z,מתחת לגיל 60,0,30,6246,0.0,16.8,83.7
20,2021-01-26T00:00:00.000Z,מעל גיל 60,0,65,299,0.0,15.7,27.0
21,2021-01-27T00:00:00.000Z,מעל גיל 60,0,74,262,0.0,14.8,25.8
22,2021-01-27T00:00:00.000Z,מתחת לגיל 60,0,42,6085,0.0,18.0,82.2
23,2021-01-27T00:00:00.000Z,כלל האוכלוסיה,0,116,6444,0.0,15.8,76.6
24,2021-01-28T00:00:00.000Z,מתחת לגיל 60,0,54,5552,0.0,17.7,75.8
25,2021-01-28T00:00:00.000Z,כלל האוכלוסיה,0,173,5868,0.0,19.2,71.2
26,2021-01-28T00:00:00.000Z,מעל גיל 60,0,119,273,0.0,20.0,29.6
27,2021-01-29T00:00:00.000Z,מתחת לגיל 60,0,40,5320,0.0,11.9,73.0
28,2021-01-29T00:00:00.000Z,מעל גיל 60,0,91,204,0.0,14.4,23.1
29,2021-01-29T00:00:00.000Z,כלל האוכלוסיה,0,131,5557,0.0,13.5,68.1
30,2021-01-30T00:00:00.000Z,מתחת לגיל 60,0,12,2012,0.0,3.3,27.7
31,2021-01-30T00:00:00.000Z,מעל גיל 60,0,26,113,0.0,3.9,13.2
32,2021-01-30T00:00:00.000Z,כלל האוכלוסיה,0,38,2140,0.0,3.7,26.4
33,2021-01-31T00:00:00.000Z,מתחת לגיל 60,0,44,3937,0.0,10.2,54.8
34,2021-01-31T00:00:00.000Z,מעל גיל 60,0,59,156,0.0,8.0,19.8
35,2021-01-31T00:00:00.000Z,כלל האוכלוסיה,0,103,4115,0.0,8.8,51.6
36,2021-02-01T00:00:00.000Z,מתחת לגיל 60,0,86,6938,0.0,17.0,97.4
37,2021-02-01T00:00:00.000Z,כלל האוכלוסיה,0,217,7265,0.0,16.6,92.5
38,2021-02-01T00:00:00.000Z,מעל גיל 60,0,129,285,0.0,16.1,39.2
39,2021-02-02T00:00:00.000Z,מעל גיל 60,0,132,287,0.0,15.4,42.7
40,2021-02-02T00:00:00.000Z,מתחת לגיל 60,0,93,6199,0.0,16.3,87.7
41,2021-02-02T00:00:00.000Z,כלל האוכלוסיה,0,226,6532,0.0,15.8,84.3
42,2021-02-03T00:00:00.000Z,מתחת לגיל 60,0,87,5784,0.0,13.7,82.4
43,2021-02-03T00:00:00.000Z,מעל גיל 60,0,90,232,0.0,9.8,37.4
44,2021-02-03T00:00:00.000Z,כלל האוכלוסיה,0,177,6081,0.0,11.4,79.6
45,2021-02-04T00:00:00.000Z,כלל האוכלוסיה,0,196,5977,0.0,11.6,79.5
46,2021-02-04T00:00:00.000Z,מתחת לגיל 60,0,77,5676,0.0,10.8,81.7
47,2021-02-04T00:00:00.000Z,מעל גיל 60,0,119,253,0.0,12.2,44.3
48,2021-02-05T00:00:00.000Z,כלל האוכלוסיה,0,168,5344,0.0,9.6,71.6
49,2021-02-05T00:00:00.000Z,מעל גיל 60,0,92,238,0.0,9.2,43.1
50,2021-02-05T00:00:00.000Z,מתחת לגיל 60,0,75,5074,0.0,9.9,73.4
51,2021-02-06T00:00:00.000Z,מעל גיל 60,0,34,133,0.0,3.4,24.5
52,2021-02-06T00:00:00.000Z,כלל האוכלוסיה,0,66,2146,0.0,3.7,28.9
53,2021-02-06T00:00:00.000Z,מתחת לגיל 60,0,32,2003,0.0,4.1,29.1
54,2021-02-07T00:00:00.000Z,כלל האוכלוסיה,0,138,3626,0.0,7.4,49.2
55,2021-02-07T00:00:00.000Z,מעל גיל 60,0,71,160,0.0,6.9,30.6
56,2021-02-07T00:00:00.000Z,מתחת לגיל 60,0,65,3450,0.0,7.9,50.4
57,2021-02-08T00:00:00.000Z,מעל גיל 60,0,108,284,0.0,10.4,55.5
58,2021-02-08T00:00:00.000Z,מתחת לגיל 60,0,69,6157,0.0,8.1,90.5
59,2021-02-08T00:00:00.000Z,כלל האוכלוסיה,0,177,6475,0.0,9.4,88.5
60,2021-02-09T00:00:00.000Z,מתחת לגיל 60,0,66,4799,0.0,7.6,70.9
61,2021-02-09T00:00:00.000Z,כלל האוכלוסיה,0,148,5076,0.0,7.7,69.8
62,2021-02-09T00:00:00.000Z,מעל גיל 60,0,81,241,0.0,7.7,47.9
63,2021-02-10T00:00:00.000Z,כלל האוכלוסיה,0,107,4720,0.0,5.4,65.5
64,2021-02-10T00:00:00.000Z,מעל גיל 60,0,55,215,0.0,5.2,43.6
65,2021-02-10T00:00:00.000Z,מתחת לגיל 60,0,52,4468,0.0,5.7,66.6
66,2021-02-11T00:00:00.000Z,מעל גיל 60,0,47,205,0.0,4.4,42.4
67,2021-02-11T00:00:00.000Z,כלל האוכלוסיה,0,92,4221,0.0,4.5,59.2
68,2021-02-11T00:00:00.000Z,מתחת לגיל 60,0,45,3986,0.0,4.7,59.9
69,2021-02-12T00:00:00.000Z,כלל האוכלוסיה,0,91,3872,0.0,4.4,54.5
70,2021-02-12T00:00:00.000Z,מתחת לגיל 60,0,51,3663,0.0,5.2,55.3
71,2021-02-12T00:00:00.000Z,מעל גיל 60,0,40,179,0.0,3.7,37.4
72,2021-02-13T00:00:00.000Z,כלל האוכלוסיה,0,29,1577,0.0,1.4,22.3
73,2021-02-13T00:00:00.000Z,מתחת לגיל 60,0,14,1493,0.0,1.4,22.6
74,2021-02-13T00:00:00.000Z,מעל גיל 60,0,15,72,0.0,1.4,15.1
75,2021-02-14T00:00:00.000Z,מעל גיל 60,0,33,128,0.0,3.0,27.3
76,2021-02-14T00:00:00.000Z,מתחת לגיל 60,0,35,2676,0.0,3.3,41.0
77,2021-02-14T00:00:00.000Z,כלל האוכלוסיה,0,69,2823,0.0,3.2,40.4
78,2021-02-15T00:00:00.000Z,מתחת לגיל 60,0,66,4100,0.0,5.9,63.6
79,2021-02-15T00:00:00.000Z,מעל גיל 60,0,33,215,0.0,3.0,46.7
80,2021-02-15T00:00:00.000Z,כלל האוכלוסיה,0,99,4345,0.0,4.5,62.9
81,2021-02-16T00:00:00.000Z,מתחת לגיל 60,0,38,3586,0.0,3.2,56.3
82,2021-02-16T00:00:00.000Z,כלל האוכלוסיה,0,81,3776,0.0,3.6,55.3
83,2021-02-16T00:00:00.000Z,מעל גיל 60,0,43,165,0.0,3.9,36.4
84,2021-02-17T00:00:00.000Z,מעל גיל 60,0,42,150,0.0,3.8,33.6
85,2021-02-17T00:00:00.000Z,כלל האוכלוסיה,0,101,3407,0.0,4.3,50.6
86,2021-02-17T00:00:00.000Z,מתחת לגיל 60,0,59,3216,0.0,4.7,51.1
87,2021-02-18T00:00:00.000Z,מעל גיל 60,0,36,111,0.0,3.2,25.2
88,2021-02-18T00:00:00.000Z,כלל האוכלוסיה,0,74,2741,0.0,3.1,41.2
89,2021-02-18T00:00:00.000Z,מתחת לגיל 60,0,38,2588,0.0,2.9,41.7
90,2021-02-19T00:00:00.000Z,מעל גיל 60,0,29,143,0.0,2.6,32.7
91,2021-02-19T00:00:00.000Z,כלל האוכלוסיה,0,75,3086,0.0,3.0,46.7
92,2021-02-19T00:00:00.000Z,מתחת לגיל 60,0,46,2920,0.0,3.4,47.3
93,2021-02-20T00:00:00.000Z,מתחת לגיל 60,0,10,961,0.0,0.7000000000000001,15.7
94,2021-02-20T00:00:00.000Z,מעל גיל 60,0,14,47,0.0,1.3,10.8
95,2021-02-20T00:00:00.000Z,כלל האוכלוסיה,0,24,1016,0.0,1.0,15.5
96,2021-02-21T00:00:00.000Z,מתחת לגיל 60,0,53,2295,0.0,3.7,37.8
97,2021-02-21T00:00:00.000Z,מעל גיל 60,0,22,131,0.0,2.0,30.6
98,2021-02-21T00:00:00.000Z,כלל האוכלוסיה,0,75,2441,0.0,2.9,37.6
99,2021-02-22T00:00:00.000Z,כלל האוכלוסיה,0,112,3917,0.0,4.2,61.1
100,2021-02-22T00:00:00.000Z,מעל גיל 60,0,47,187,0.0,4.2,44.5
101,2021-02-22T00:00:00.000Z,מתחת לגיל 60,0,65,3690,0.0,4.3,61.6
102,2021-02-23T00:00:00.000Z,מתחת לגיל 60,0,70,3331,0.0,4.4,56.3
103,2021-02-23T00:00:00.000Z,מעל גיל 60,0,37,167,0.0,3.3,40.4
104,2021-02-23T00:00:00.000Z,כלל האוכלוסיה,0,107,3527,0.0,3.9,55.8
105,2021-02-24T00:00:00.000Z,כלל האוכלוסיה,0,109,3433,0.0,3.9,54.9
106,2021-02-24T00:00:00.000Z,מעל גיל 60,0,47,138,0.0,4.1,33.8
107,2021-02-24T00:00:00.000Z,מתחת לגיל 60,0,62,3263,0.0,3.8,55.9
108,2021-02-25T00:00:00.000Z,כלל האוכלוסיה,0,102,2941,0.0,3.6,47.6
109,2021-02-25T00:00:00.000Z,מתחת לגיל 60,0,71,2780,0.0,4.1,48.2
110,2021-02-25T00:00:00.000Z,מעל גיל 60,0,31,136,0.0,2.7,33.8
111,2021-02-26T00:00:00.000Z,כלל האוכלוסיה,0,94,2907,0.0,3.2,47.4
112,2021-02-26T00:00:00.000Z,מתחת לגיל 60,0,67,2765,0.0,3.8,48.2
113,2021-02-26T00:00:00.000Z,מעל גיל 60,0,27,118,0.0,2.4,29.5
