first_week_day,last_week_day,age_group,gender,weekly_test_num,weekly_newly_tested,weekly_cases,weekly_deceased
15/3/2020,21/3/2020,>=80,NULL,0,0,0,0
15/3/2020,21/3/2020,>=80,זכר,168,149,<15,<15
15/3/2020,21/3/2020,>=80,נקבה,209,175,<15,0
15/3/2020,21/3/2020,0-19,NULL,50,50,0,0
15/3/2020,21/3/2020,0-19,זכר,1128,1079,43,0
15/3/2020,21/3/2020,0-19,נקבה,963,925,41,0
15/3/2020,21/3/2020,20-24,NULL,<15,<15,0,0
15/3/2020,21/3/2020,20-24,זכר,671,626,103,0
15/3/2020,21/3/2020,20-24,נקבה,638,616,42,0
15/3/2020,21/3/2020,25-29,NULL,<15,<15,<15,0
15/3/2020,21/3/2020,25-29,זכר,585,553,51,0
15/3/2020,21/3/2020,25-29,נקבה,727,685,47,0
15/3/2020,21/3/2020,30-34,NULL,<15,<15,0,0
15/3/2020,21/3/2020,30-34,זכר,633,584,61,0
15/3/2020,21/3/2020,30-34,נקבה,660,615,35,0
15/3/2020,21/3/2020,35-39,NULL,<15,<15,0,0
15/3/2020,21/3/2020,35-39,זכר,556,509,50,0
15/3/2020,21/3/2020,35-39,נקבה,513,484,27,0
15/3/2020,21/3/2020,40-44,NULL,<15,<15,0,0
15/3/2020,21/3/2020,40-44,זכר,390,359,38,0
15/3/2020,21/3/2020,40-44,נקבה,426,384,21,0
15/3/2020,21/3/2020,45-49,NULL,<15,<15,0,0
15/3/2020,21/3/2020,45-49,זכר,371,322,42,0
15/3/2020,21/3/2020,45-49,נקבה,385,371,17,0
15/3/2020,21/3/2020,50-54,NULL,<15,<15,0,0
15/3/2020,21/3/2020,50-54,זכר,277,257,36,0
15/3/2020,21/3/2020,50-54,נקבה,371,345,25,0
15/3/2020,21/3/2020,55-59,NULL,<15,<15,0,0
15/3/2020,21/3/2020,55-59,זכר,206,180,24,0
15/3/2020,21/3/2020,55-59,נקבה,352,326,29,0
15/3/2020,21/3/2020,60-64,NULL,0,0,0,0
15/3/2020,21/3/2020,60-64,זכר,249,227,23,0
15/3/2020,21/3/2020,60-64,נקבה,291,269,20,0
15/3/2020,21/3/2020,65-69,NULL,<15,<15,0,0
15/3/2020,21/3/2020,65-69,זכר,248,216,32,0
15/3/2020,21/3/2020,65-69,נקבה,199,179,17,0
15/3/2020,21/3/2020,70-74,NULL,<15,<15,0,0
15/3/2020,21/3/2020,70-74,זכר,199,165,29,0
15/3/2020,21/3/2020,70-74,נקבה,149,131,18,0
15/3/2020,21/3/2020,75-79,NULL,0,0,0,0
15/3/2020,21/3/2020,75-79,זכר,99,89,<15,0
15/3/2020,21/3/2020,75-79,נקבה,70,63,<15,0
15/3/2020,21/3/2020,NULL,NULL,49,45,<15,0
15/3/2020,21/3/2020,NULL,זכר,411,387,16,0
15/3/2020,21/3/2020,NULL,נקבה,429,404,<15,0
22/3/2020,28/3/2020,>=80,NULL,<15,<15,0,0
22/3/2020,28/3/2020,>=80,זכר,421,360,33,<15
22/3/2020,28/3/2020,>=80,נקבה,630,550,32,<15
22/3/2020,28/3/2020,0-19,NULL,176,174,0,0
22/3/2020,28/3/2020,0-19,זכר,2586,2427,211,0
22/3/2020,28/3/2020,0-19,נקבה,2358,2208,179,0
22/3/2020,28/3/2020,20-24,NULL,248,246,0,0
22/3/2020,28/3/2020,20-24,זכר,2062,1879,224,0
22/3/2020,28/3/2020,20-24,נקבה,2138,2020,151,0
22/3/2020,28/3/2020,25-29,NULL,84,83,<15,0
22/3/2020,28/3/2020,25-29,זכר,1948,1795,168,0
22/3/2020,28/3/2020,25-29,נקבה,2084,1911,128,0
22/3/2020,28/3/2020,30-34,NULL,53,53,0,0
22/3/2020,28/3/2020,30-34,זכר,1836,1670,123,0
22/3/2020,28/3/2020,30-34,נקבה,1759,1609,109,0
22/3/2020,28/3/2020,35-39,NULL,29,29,0,0
22/3/2020,28/3/2020,35-39,זכר,1465,1288,130,0
22/3/2020,28/3/2020,35-39,נקבה,1438,1328,77,0
22/3/2020,28/3/2020,40-44,NULL,21,21,0,0
22/3/2020,28/3/2020,40-44,זכר,1126,1040,89,0
22/3/2020,28/3/2020,40-44,נקבה,1239,1149,67,0
22/3/2020,28/3/2020,45-49,NULL,28,28,0,0
22/3/2020,28/3/2020,45-49,זכר,1019,909,132,0
22/3/2020,28/3/2020,45-49,נקבה,1164,1082,94,0
22/3/2020,28/3/2020,50-54,NULL,<15,<15,0,0
22/3/2020,28/3/2020,50-54,זכר,797,726,130,0
22/3/2020,28/3/2020,50-54,נקבה,1115,1027,92,0
22/3/2020,28/3/2020,55-59,NULL,<15,<15,0,0
22/3/2020,28/3/2020,55-59,זכר,784,726,131,0
22/3/2020,28/3/2020,55-59,נקבה,1015,929,88,0
22/3/2020,28/3/2020,60-64,NULL,<15,<15,0,0
22/3/2020,28/3/2020,60-64,זכר,867,773,126,0
22/3/2020,28/3/2020,60-64,נקבה,873,805,70,0
22/3/2020,28/3/2020,65-69,NULL,<15,<15,0,0
22/3/2020,28/3/2020,65-69,זכר,645,585,83,<15
22/3/2020,28/3/2020,65-69,נקבה,558,512,59,<15
