date,y0_9,y10_19,y20_29,y30_39,y40_49,y50_59,y60_69,y70_79,y80_89,y90
25-Jun-2020 00:00:00,227,608,575,412,371,311,176,102,53,21
02-Jul-2020 00:00:00,483,1242,1443,978,783,559,334,147,87,40
09-Jul-2020 00:00:00,831,1697,2002,1328,1134,752,467,231,121,50
16-Jul-2020 00:00:00,1173,2277,2585,1732,1449,1068,682,330,163,65
23-Jul-2020 00:00:00,1459,2260,2342,1680,1490,1075,695,325,166,60
30-Jul-2020 00:00:00,1401,2150,2187,1518,1332,1008,682,284,138,49
06-Aug-2020 00:00:00,1283,2011,1923,1364,1287,1007,664,329,174,48
13-Aug-2020 00:00:00,1172,1764,1842,1352,1245,978,660,314,147,41
20-Aug-2020 00:00:00,1116,1809,1967,1329,1244,1039,699,367,220,72
27-Aug-2020 00:00:00,1250,1975,2231,1567,1510,1228,761,417,195,66
03-Sep-2020 00:00:00,1464,4210,3232,2077,2036,1603,1015,497,222,65
10-Sep-2020 00:00:00,2655,6447,4744,3315,3037,2148,1362,618,322,74
17-Sep-2020 00:00:00,3650,7464,6348,4498,4099,2927,1842,766,361,131
24-Sep-2020 00:00:00,4021,9783,8330,6053,5617,4312,2693,1226,585,171
01-Oct-2020 00:00:00,3729,7647,7021,4994,4320,3252,2463,1234,600,202
08-Oct-2020 00:00:00,2914,4950,4451,3084,2681,2084,1659,983,492,181
15-Oct-2020 00:00:00,1618,2414,2382,1592,1380,1138,799,482,296,107
22-Oct-2020 00:00:00,716,1353,1382,964,880,667,525,251,175,66
29-Oct-2020 00:00:00,524,729,1050,690,629,547,367,211,102,40
05-Nov-2020 00:00:00,424,576,874,614,583,507,340,173,88,37
12-Nov-2020 00:00:00,461,620,846,677,666,500,372,225,78,32
19-Nov-2020 00:00:00,512,821,1008,838,767,597,422,218,91,32
26-Nov-2020 00:00:00,615,1018,1204,1050,918,726,503,280,95,33
03-Dec-2020 00:00:00,899,1518,1757,1421,1238,994,738,424,177,60
10-Dec-2020 00:00:00,1284,1994,2289,1857,1705,1337,912,465,248,73
17-Dec-2020 00:00:00,1855,3181,3134,2524,2460,1846,1279,679,334,96
24-Dec-2020 00:00:00,3160,4996,4933,3871,3536,2597,1888,936,407,148
31-Dec-2020 00:00:00,5011,7832,6610,5382,4442,3379,2329,1131,614,290
07-Jan-2021 00:00:00,7107,11891,9330,7137,6271,4444,3117,1467,836,318
14-Jan-2021 00:00:00,9255,12335,9599,7815,6560,4828,3204,1651,936,331
21-Jan-2021 00:00:00,8516,10943,8516,6449,5400,3948,2530,1308,780,247
28-Jan-2021 00:00:00,8020,10569,8509,5819,4764,3420,1920,988,580,209
04-Feb-2021 00:00:00,8581,10347,8780,6258,4930,3386,1690,865,522,152
11-Feb-2021 00:00:00,6906,7502,6907,5001,3716,2454,1244,589,359,111
18-Feb-2021 00:00:00,4952,5245,5349,3784,2624,1727,908,461,196,69
25-Feb-2021 00:00:00,5502,5125,5177,3794,2485,1665,841,424,230,72
04-Mar-2021 00:00:00,6563,5685,4377,3560,2362,1397,840,415,213,78
11-Mar-2021 00:00:00,4520,3825,2660,2303,1694,1041,607,383,140,65
18-Mar-2021 00:00:00,1922,2034,1468,1241,832,627,424,168,127,30
25-Mar-2021 00:00:00,681,941,770,556,528,304,232,169,47,24
01-Apr-2021 00:00:00,206,410,475,287,286,174,87,29,212,109
08-Apr-2021 00:00:00,84,304,357,294,178,171,119,96,65,22
15-Apr-2021 00:00:00,0,218,248,144,91,125,113,131,33,0
22-Apr-2021 00:00:00,0,7,42,27,8,26,7,15,8,1
29-Apr-2021 00:00:00,0,347,250,261,224,152,152,101,43,15
06-May-2021 00:00:00,0,0,0,0,0,0,0,0,0,0
13-May-2021 00:00:00,0,0,252,192,256,226,169,117,39,33
20-May-2021 00:00:00,0,2,241,0,0,0,0,0,0,0
27-May-2021 00:00:00,0,0,135,59,84,55,61,54,13,8
03-Jun-2021 00:00:00,0,0,194,73,64,81,60,45,24,14
10-Jun-2021 00:00:00,0,0,180,105,38,74,78,49,11,9
17-Jun-2021 00:00:00,0,42,60,39,95,71,49,18,9,5
24-Jun-2021 00:00:00,0,355,191,150,151,200,159,87,27,10
01-Jul-2021 00:00:00,401,620,102,213,265,191,188,123,34,7
08-Jul-2021 00:00:00,151,521,530,466,503,376,303,257,64,18
15-Jul-2021 00:00:00,971,860,813,731,824,534,496,314,104,35
22-Jul-2021 00:00:00,1895,1617,1014,1209,1137,710,664,400,174,50
29-Jul-2021 00:00:00,2961,2668,1716,2005,1837,1240,1133,749,339,102
05-Aug-2021 00:00:00,5348,4593,3514,3739,3392,2378,1833,1140,514,144
12-Aug-2021 00:00:00,7734,6517,5312,5473,4947,3516,2533,1531,689,185
19-Aug-2021 00:00:00,11300,9064,7581,7526,6289,4104,2409,1284,629,159
26-Aug-2021 00:00:00,14350,11849,9693,9074,7087,4098,2027,968,501,136
02-Sep-2021 00:00:00,18167,14719,10208,9411,6823,3211,1677,750,437,106
09-Sep-2021 00:00:00,16934,12507,7477,7468,4874,2227,1106,538,293,82
16-Sep-2021 00:00:00,18058,12459,6972,7724,5038,2233,1234,561,280,89
23-Sep-2021 00:00:00,11870,8686,4479,5351,3543,1697,994,461,225,68
30-Sep-2021 00:00:00,7337,5377,3053,3261,2317,1121,627,315,176,43
07-Oct-2021 00:00:00,4878,3626,1990,2051,1362,782,434,224,103,21
14-Oct-2021 00:00:00,3800,2647,1053,1225,860,427,278,118,69,17
19-Oct-2021 00:00:00,2752,2018,713,888,672,273,182,96,51,9
