date,m0_9,m10_19,m20_29,m30_39,m40_49,m50_59,m60_69,m70_79,m80_89,m90_,f0_9,f10_19,f20_29,f30_39,f40_49,f50_59,f60_69,f70_79,f80_89,f90_
24-Jun-2020 00:00:00,125,342,306,233,174,153,100,56,29,8,102,266,269,179,197,158,76,46,24,13
01-Jul-2020 00:00:00,240,767,788,526,431,282,178,78,33,11,243,475,655,452,352,277,156,69,54,29
08-Jul-2020 00:00:00,433,958,988,720,571,363,224,121,53,16,398,739,1014,608,563,389,243,110,68,34
15-Jul-2020 00:00:00,617,1199,1285,886,711,549,357,169,69,19,556,1078,1300,846,738,519,325,161,94,46
22-Jul-2020 00:00:00,745,1287,1144,803,653,510,315,167,70,15,714,973,1198,877,837,565,380,158,96,45
29-Jul-2020 00:00:00,706,1222,1146,752,614,501,355,150,55,14,695,928,1041,766,718,507,327,134,83,35
05-Aug-2020 00:00:00,658,1109,979,670,641,478,342,175,78,21,625,902,944,694,646,529,322,154,96,27
12-Aug-2020 00:00:00,577,917,827,651,605,464,356,159,57,16,595,847,1015,701,640,514,304,155,90,25
19-Aug-2020 00:00:00,574,890,863,633,546,482,332,190,89,20,542,919,1104,696,698,557,367,177,131,52
26-Aug-2020 00:00:00,628,966,996,679,645,526,378,190,79,9,622,1009,1235,888,865,702,383,227,116,57
02-Sep-2020 00:00:00,732,2963,1759,961,941,776,513,244,100,18,732,1247,1473,1116,1095,827,502,253,122,47
09-Sep-2020 00:00:00,1351,4291,2549,1547,1382,1000,682,308,133,22,1304,2156,2195,1768,1655,1148,680,310,189,52
16-Sep-2020 00:00:00,1856,4637,3408,2143,1955,1395,973,408,170,43,1794,2827,2940,2355,2144,1532,869,358,191,88
23-Sep-2020 00:00:00,2060,5872,4532,3165,2845,2188,1489,654,267,52,1961,3911,3798,2888,2772,2124,1204,572,318,119
30-Sep-2020 00:00:00,1918,4523,3931,2748,2245,1710,1381,673,305,66,1811,3124,3090,2246,2075,1542,1082,561,295,136
07-Oct-2020 00:00:00,1503,2554,2395,1597,1335,1057,912,525,231,60,1411,2396,2056,1487,1346,1027,747,458,261,121
14-Oct-2020 00:00:00,822,1188,1224,755,665,538,427,249,125,28,796,1226,1158,837,715,600,372,233,171,79
21-Oct-2020 00:00:00,363,742,705,480,428,302,276,122,69,22,353,611,677,484,452,365,249,129,106,44
28-Oct-2020 00:00:00,286,386,507,318,283,244,194,103,50,15,238,343,543,372,346,303,173,108,52,25
04-Nov-2020 00:00:00,211,278,422,271,254,244,159,80,36,9,213,298,452,343,329,263,181,93,52,28
11-Nov-2020 00:00:00,258,289,398,334,314,249,178,116,26,10,203,331,448,343,352,251,194,109,52,22
18-Nov-2020 00:00:00,254,397,434,363,339,266,217,107,33,9,258,424,574,475,428,331,205,111,58,23
25-Nov-2020 00:00:00,299,473,572,461,412,326,237,154,35,11,316,545,632,589,506,400,266,126,60,22
02-Dec-2020 00:00:00,480,745,760,626,580,449,378,206,77,20,419,773,997,795,658,545,360,218,100,40
09-Dec-2020 00:00:00,667,940,1064,872,755,634,478,259,95,20,617,1054,1225,985,950,703,434,206,153,53
16-Dec-2020 00:00:00,935,1494,1409,1142,1134,887,645,347,146,36,920,1687,1725,1382,1326,959,634,332,188,60
23-Dec-2020 00:00:00,1616,2370,2287,1868,1575,1271,985,471,183,45,1544,2626,2646,2003,1961,1326,903,465,224,103
30-Dec-2020 00:00:00,2646,4099,3191,2575,2077,1620,1139,602,267,105,2365,3733,3419,2807,2365,1759,1190,529,347,185
06-Jan-2021 00:00:00,3735,6034,4577,3399,3002,2056,1549,722,350,108,3372,5857,4753,3738,3269,2388,1568,745,486,210
13-Jan-2021 00:00:00,4639,5811,4410,3621,3019,2339,1514,768,374,103,4616,6524,5189,4194,3541,2489,1690,883,562,228
20-Jan-2021 00:00:00,4357,5447,3974,3034,2577,1907,1276,629,299,85,4159,5496,4542,3415,2823,2041,1254,679,481,162
27-Jan-2021 00:00:00,4220,5159,4072,2866,2254,1633,947,425,227,72,3800,5410,4437,2953,2510,1787,973,563,353,137
03-Feb-2021 00:00:00,4497,5193,4190,3008,2342,1677,799,406,215,53,4084,5154,4590,3250,2588,1709,891,459,307,99
10-Feb-2021 00:00:00,3559,3634,3238,2387,1745,1140,567,251,136,37,3347,3868,3669,2614,1971,1314,677,338,223,74
17-Feb-2021 00:00:00,2522,2490,2410,1878,1183,782,414,209,83,30,2430,2755,2939,1906,1441,945,494,252,113,39
24-Feb-2021 00:00:00,2843,2452,2283,1751,1154,719,392,177,76,23,2659,2673,2894,2043,1331,946,449,247,154,49
03-Mar-2021 00:00:00,3376,2697,1860,1520,1100,598,355,185,81,26,3187,2988,2517,2040,1262,799,485,230,132,52
10-Mar-2021 00:00:00,2281,1806,1138,988,760,460,264,186,45,23,2239,2019,1522,1315,934,581,343,197,95,42
17-Mar-2021 00:00:00,970,918,677,545,385,297,177,75,61,13,952,1116,791,696,447,330,247,93,66,17
24-Mar-2021 00:00:00,329,418,400,257,219,145,94,82,14,10,352,523,370,299,309,159,138,87,33,14
31-Mar-2021 00:00:00,123,194,211,129,135,71,40,37,92,37,83,216,264,158,151,103,47,0,120,72
07-Apr-2021 00:00:00,43,150,168,132,97,74,52,46,32,13,41,154,189,162,81,97,67,50,33,9
14-Apr-2021 00:00:00,0,76,170,74,28,71,63,65,0,0,0,142,78,70,63,54,50,66,38,0
21-Apr-2021 00:00:00,1,1,17,18,5,14,8,7,0,0,0,6,25,9,3,12,0,8,8,1
28-Apr-2021 00:00:00,0,133,113,122,109,91,65,47,32,7,0,214,137,139,115,61,87,54,11,8
05-May-2021 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-May-2021 00:00:00,0,0,97,49,86,93,72,66,11,9,0,65,155,143,170,133,97,51,28,24
19-May-2021 00:00:00,0,0,0,0,0,0,0,0,0,0,0,74,366,107,0,57,37,0,0,0
