date,y0_19,y20_24,y25_29,y30_34,y35_39,y40_44,y45_49,y50_54,y55_59,y60_64,y65_69,y70_74,y75_79,y80_
2020-03-18,83,142,97,81,75,50,52,57,46,41,45,27,4,4
2020-03-25,380,374,289,229,198,156,224,223,218,196,139,93,62,66
2020-04-01,750,579,386,279,267,298,269,246,295,252,199,142,86,171
2020-04-08,661,383,252,168,145,163,179,152,150,119,110,68,49,140
2020-04-15,764,317,198,149,130,134,169,146,103,87,74,65,45,121
2020-04-22,681,218,149,98,76,87,101,70,64,37,32,4,19,62
2020-04-29,300,108,64,45,24,21,33,18,18,18,4,6,4,20
2020-05-06,92,45,4,4,4,4,4,4,4,4,4,4,4,4
2020-05-13,48,4,4,4,4,4,4,4,4,4,4,4,4,4
2020-05-20,41,4,4,4,4,4,4,4,4,4,4,4,2,2
2020-05-27,156,4,4,4,4,4,4,4,4,4,4,4,2,4
2020-06-03,242,48,53,77,53,60,37,41,17,4,6,4,4,4
2020-06-10,415,106,98,109,86,91,77,73,45,36,21,6,4,4
2020-06-17,443,139,154,153,116,114,95,98,71,60,48,52,18,36
2020-06-24,845,301,258,195,191,202,165,163,131,96,70,51,36,69
2020-07-01,1632,701,642,473,435,338,370,301,235,193,148,100,54,121
2020-07-08,2586,1120,902,714,597,580,563,377,363,254,203,142,85,179
2020-07-15,3453,1433,1073,935,772,732,694,596,450,376,267,202,120,218
2020-07-22,3823,1394,1010,890,814,781,733,613,474,423,289,208,119,219
2020-07-29,3629,1291,891,820,691,716,667,556,456,394,277,171,124,202
2020-08-05,3312,1053,825,688,685,681,588,534,449,398,272,206,132,220
2020-08-12,3084,1019,841,751,635,660,611,529,463,388,289,199,115,181
2020-08-19,2952,1036,847,696,574,570,634,546,446,385,293,214,138,292
2020-08-26,3444,1269,975,855,768,774,795,643,616,439,341,246,164,253
2020-09-02,5551,1841,1198,977,911,920,917,813,635,539,403,268,180,298
2020-09-09,8994,2575,1975,1566,1501,1425,1390,1154,923,763,550,359,242,361
2020-09-16,11799,3622,2652,2248,2109,2037,2003,1551,1319,1046,794,515,278,510
2020-09-23,14168,4790,3519,3133,2891,2830,2678,2375,1936,1509,1182,765,432,750
2020-09-30,11842,3984,3032,2587,2398,2158,2099,1716,1505,1352,1089,775,480,797
2020-10-07,8555,2593,2020,1672,1543,1474,1381,1148,1094,961,814,640,382,690
2020-10-14,4341,1363,1064,836,771,740,656,607,551,432,372,281,210,409
2020-10-21,2291,707,534,490,432,404,418,340,288,252,213,157,96,234
2020-10-28,1373,491,410,300,305,292,295,258,224,188,145,107,67,125
2020-11-04,1238,450,402,366,280,324,311,288,243,170,147,96,64,119
2020-11-11,1293,414,374,338,304,358,303,268,221,192,157,127,85,104
2020-11-18,1395,450,433,404,376,365,364,300,247,219,168,124,77,116
