date,old_60_unvacc,old_60_inProccess,young_60_vacc,young_60_unvacc,young_60_inProcess,young_60_vacc_1
21-Dec-2020,307.5,0,NaN,429.3,0,NaN
22-Dec-2020,345.5,0,NaN,492.8,264.7,NaN
23-Dec-2020,362.1,46,NaN,448.7,284.3,NaN
24-Dec-2020,368.7,63.9,NaN,452.2,345.8,NaN
25-Dec-2020,336.8,76.3,NaN,454.5,258.9,NaN
26-Dec-2020,287.9,61.2,NaN,290.2,272.8,NaN
27-Dec-2020,342.8,74.6,0,390.8,465.7,0
28-Dec-2020,513.6,133.3,0,624.2,398.4,0
29-Dec-2020,520.6,145.2,0,644.9,432.2,0
30-Dec-2020,528.7,210.7,0,671.2,589.1,0
31-Dec-2020,539.5,236.5,0,669.8,553,0
01-Jan-2021,570.2,291.3,0,685.2,572.4,0
02-Jan-2021,405.4,240.5,0,479,399.2,0
03-Jan-2021,504.6,319.9,0,586.2,584.5,0
04-Jan-2021,665,456.9,0,971.4,809.5,0
05-Jan-2021,743.4,388,0,966.6,715.1,0
06-Jan-2021,830.1,429.5,0,905.7,732.4,0
07-Jan-2021,763.2,423.1,0,889.6,684.2,0
08-Jan-2021,788.5,558.6,0,929.3,817.8,0
09-Jan-2021,547.4,330.3,0,595.5,474.2,0
10-Jan-2021,617.6,413.4,0,816.6,597.3,0
11-Jan-2021,790.1,561.7,0,1147,846.9,0
12-Jan-2021,817.2,589.3,0,1090.3,816.8,0
13-Jan-2021,769.1,623.9,0,1109.7,844.1,0
14-Jan-2021,806.5,574.9,0,1098.6,786.6,0
15-Jan-2021,719.8,522.6,0,1006,645.6,0
16-Jan-2021,531.8,320.3,0,590.5,474.2,0
17-Jan-2021,604.5,327.2,191.6,661.6,517.7,191.6
18-Jan-2021,816.3,559.6,133.6,1254,667.6,133.6
19-Jan-2021,794.8,488.3,210.4,1060.4,620.6,210.4
20-Jan-2021,829.2,463.6,174,1046.4,548.3,174
21-Jan-2021,757.4,414.3,247.2,922.3,432.5,247.2
22-Jan-2021,651.6,366.8,123.6,945.7,505.1,123.6
23-Jan-2021,315.5,159,64.2,295.8,196.8,64.2
24-Jan-2021,520.8,281.8,88.2,615.8,392.7,88.2
25-Jan-2021,866.9,469.2,173.5,1134.2,594.5,173.5
26-Jan-2021,783.5,428.8,158.8,1021.2,526.5,158.8
27-Jan-2021,738.5,404.8,181.3,1003.3,596.5,181.3
28-Jan-2021,786.8,410.5,173.3,927.1,604,173.3
29-Jan-2021,567.1,385.6,126.9,893.3,576,126.9
30-Jan-2021,319.4,164,30.8,340.6,239.2,30.8
31-Jan-2021,461.1,313,101.8,673.4,568.8,101.8
01-Feb-2021,841.1,578,163.5,1200.4,808.4,163.5
02-Feb-2021,849.1,538,166.3,1085.4,717.6,166.3
03-Feb-2021,712.5,487.9,136,1021.8,720.2,136
04-Feb-2021,779.5,348.5,110,1015.2,666.8,110
05-Feb-2021,743.5,501.3,102.6,912.9,657.7,102.6
06-Feb-2021,417.5,262.9,39.7,362.6,267.8,39.7
07-Feb-2021,481.7,366.6,78.2,629.9,520.8,78.2
08-Feb-2021,937.1,624.8,81.6,1132.1,720.6,81.6
09-Feb-2021,798.1,580.2,75.2,893.7,548.1,75.2
10-Feb-2021,720.1,456.9,59.4,842.2,495.8,59.4
11-Feb-2021,699.7,353.7,45.6,762.4,401.6,45.6
12-Feb-2021,620,431.3,49.4,704.2,398.7,49.4
13-Feb-2021,246.4,154.2,13.3,288.9,159.5,13.3
