date,over60,40_60,below40,total,over60vacc,40_60vacc,below40vacc,total_vacc
12/01/2020,33,10,1,44,,,,
12/02/2020,27,9,3,39,,,,
12/03/2020,31,9,4,44,,,,
12/04/2020,35,7,1,43,,,,
12/05/2020,25,5,2,32,,,,
12/06/2020,20,14,3,37,,,,
12/07/2020,26,8,1,35,,,,
12/08/2020,22,5,2,29,,,,
12/09/2020,26,7,3,36,,,,
12/10/2020,24,12,2,38,,,,
12/11/2020,37,15,1,53,,,,
12/12/2020,24,12,2,38,,,,
12/13/2020,40,15,3,58,,,,
12/14/2020,37,14,0,51,,,,
12/15/2020,44,10,2,56,,,,
12/16/2020,47,11,2,60,,,,
12/17/2020,49,19,3,71,,,,
12/18/2020,47,9,2,58,,,,
12/19/2020,40,17,2,59,,,,
12/20/2020,50,11,2,63,,,,
12/21/2020,53,11,2,66,,,,
12/22/2020,60,17,1,78,,,,
12/23/2020,51,22,4,77,,,,
12/24/2020,51,18,3,72,,,,
12/25/2020,58,19,5,82,,,,
12/26/2020,55,15,6,76,,,,
12/27/2020,57,19,7,83,,,,
12/28/2020,72,18,5,95,,,,
12/29/2020,67,20,4,91,,,,
12/30/2020,76,18,6,100,,,,
12/31/2020,78,27,4,109,,,,
01/01/2021,77,24,1,102,,,,
01/02/2021,71,8,2,81,,,,
01/03/2021,96,14,3,113,,,,
01/04/2021,106,19,3,128,,,,
01/05/2021,103,27,10,140,,,,
01/06/2021,108,25,8,141,,,,
01/07/2021,98,30,6,134,,,,
01/08/2021,80,39,6,125,,,,
01/09/2021,92,24,2,118,,,,
01/10/2021,112,29,6,147,,,,
01/11/2021,126,26,5,157,,,,
01/12/2021,97,33,6,136,,,,
01/13/2021,131,33,7,171,,,,
01/14/2021,101,35,8,144,,,,
01/15/2021,117,23,7,147,,,,
01/16/2021,81,20,7,108,,,,
01/17/2021,137,38,4,179,,,,
01/18/2021,107,23,10,140,,,,
01/19/2021,117,26,9,153,5,0,,
01/20/2021,94,28,10,132,1,1,,
01/21/2021,86,30,11,127,4,1,,
01/22/2021,89,30,5,124,7,0,,
01/23/2021,101,28,5,134,9,2,,
01/24/2021,85,35,9,129,7,1,,
01/25/2021,122,30,8,160,7,0,,
01/26/2021,97,40,12,149,12,0,,
01/27/2021,79,38,6,123,8,1,,
01/28/2021,82,36,14,132,12,1,,
01/29/2021,68,26,6,100,11,0,,
01/30/2021,60,19,8,87,12,1,,
01/31/2021,68,34,12,114,16,0,,
02/01/2021,92,27,7,126,20,0,,
02/02/2021,78,46,9,133,19,3,,
02/03/2021,93,43,15,151,20,0,1,20
02/04/2021,77,37,8,122,17,1,,
02/05/2021,66,38,16,120,16,1,0,17
02/06/2021,58,24,11,93,10,1,,
02/07/2021,64,27,17,108,8,0,1,8
02/08/2021,93,29,12,134,14,2,,
02/09/2021,51,31,11,93,9,1,,
02/10/2021,61,34,19,114,9,1,0,10
02/11/2021,43,24,18,85,8,0,0,8
02/12/2021,44,21,9,74,6,0,,
02/13/2021,46,27,12,85,1,0,0,1
02/14/2021,66,36,10,112,9,2,0,11
02/15/2021,53,34,18,105,4,2,0,6
02/16/2021,45,19,14,78,5,0,0,5
02/17/2021,46,33,13,92,9,1,1,11
02/18/2021,38,24,7,69,4,0,0,4
02/19/2021,30,15,11,56,4,1,0,5
02/20/2021,20,28,12,60,3,0,0,3
02/21/2021,34,25,11,70,3,2,0,5
02/22/2021,48,38,12,98,6,1,0,7
02/23/2021,41,28,16,85,4,1,0,5
02/24/2021,32,24,18,74,5,1,0,6
02/25/2021,39,26,11,76,6,0,0,6
02/26/2021,30,22,9,61,3,0,0,3
02/27/2021,32,17,6,55,9,0,0,9
02/28/2021,37,14,11,62,7,0,0,7
03/01/2021,54,29,15,98,2,2,0,4
03/02/2021,46,21,11,78,10,0,0,10
03/03/2021,56,23,8,87,4,2,0,6
03/04/2021,40,25,10,75,6,2,0,8
03/05/2021,35,25,7,67,5,1,0,6
03/06/2021,45,25,7,77,7,0,0,7
03/07/2021,19,20,9,48,4,1,0,5
03/08/2021,47,28,11,86,7,1,0,8
03/09/2021,20,18,5,43,5,0,0,5
03/10/2021,43,19,5,67,6,0,0,6
03/11/2021,29,20,6,55,3,1,0,4
03/12/2021,37,17,13,67,4,2,0,6
03/13/2021,17,17,2,36,3,1,0,4
03/14/2021,34,20,12,66,4,0,0,4
03/15/2021,31,16,5,52,5,1,0,6
03/16/2021,23,19,14,56,3,0,0,3
03/17/2021,19,15,1,35,3,0,0,3
03/18/2021,29,15,10,54,6,1,0,7
03/19/2021,23,14,7,44,3,1,0,4
03/20/2021,20,10,4,34,1,0,0,1
03/21/2021,28,10,3,41,5,0,0,5
03/22/2021,13,10,2,25,2,0,0,2
03/23/2021,22,7,6,35,5,3,0,8
03/24/2021,22,9,0,31,3,1,0,4
03/25/2021,24,11,1,36,3,0,0,3
03/26/2021,12,8,1,21,,,,4
03/27/2021,8,2,0,10,0,0,0,0
03/28/2021,10,3,1,14,,,,
