date,positive,hospitalized,critical,deceased,previously_critical,discharged
03/01/2020,0.558659217877095,0,0,0,0,0
03/02/2020,2.94117647058824,1,0,0,0,0
03/03/2020,1.3215859030837,0,0,0,0,1
03/04/2020,0,0,0,0,0,0
03/05/2020,1.21212121212121,1,1,0,0,0
03/06/2020,1.45985401459854,1,1,0,0,0
03/07/2020,1.23456790123457,1,1,0,0,0
03/08/2020,2.15827338129496,2,2,0,0,0
03/09/2020,0.776699029126214,7,1,0,0,0
03/10/2020,6.66666666666667,2,0,0,0,0
03/11/2020,5.30503978779841,10,1,0,0,0
03/12/2020,3.52941176470588,6,0,0,0,0
03/13/2020,5.20231213872832,10,0,0,0,0
03/14/2020,4.74631751227496,20,1,0,2,0
03/15/2020,3.37477797513321,37,3,0,0,0
03/16/2020,5.52611657834974,27,2,0,0,8
03/17/2020,6.00255427841635,46,1,0,0,11
03/18/2020,5.92369477911647,54,2,0,0,4
03/19/2020,6.81474003028773,31,5,0,0,42
03/20/2020,7.51677852348993,30,3,1,0,35
03/21/2020,10.1645692158761,34,3,0,0,46
03/22/2020,7.89064926995962,54,10,0,0,7
03/23/2020,10.0343053173242,58,6,0,1,30
03/24/2020,9.11637931034483,82,6,3,0,37
03/25/2020,7.34404700190081,81,5,1,0,61
03/26/2020,8.27630113003342,83,9,5,0,27
03/27/2020,7.76942355889724,110,11,2,0,57
03/28/2020,8.67208672086721,53,5,1,0,54
03/29/2020,7.35111233936714,70,13,3,1,37
03/30/2020,8.00469139422372,122,9,1,0,45
03/31/2020,9.79949541893507,111,16,4,1,59
04/01/2020,8.12449003380347,147,24,8,3,37
04/02/2020,7.59239704329461,115,13,10,1,61
04/03/2020,6.10429447852761,97,20,5,0,101
04/04/2020,7.13092852371409,73,15,7,0,79
04/05/2020,6.64160401002506,100,5,6,3,58
04/06/2020,6.66174298375185,93,23,7,4,99
04/07/2020,6.11947547353084,72,17,7,0,131
04/08/2020,6.83242369112593,57,18,9,2,102
04/09/2020,6.85725709716114,65,16,9,7,85
04/10/2020,5.67499209611129,56,11,8,0,43
04/11/2020,5.98646538261322,39,26,6,8,76
04/12/2020,6.49853372434018,90,21,7,19,43
04/13/2020,4.76760640034832,91,29,8,6,59
04/14/2020,3.63885088919289,75,5,8,11,82
04/15/2020,3.98769072958072,69,15,13,0,59
04/16/2020,2.64073512356142,51,9,7,1,15
04/17/2020,2.98806778301414,48,8,9,14,76
04/18/2020,3.24740542350184,42,14,11,0,52
04/19/2020,2.77055411082216,40,8,8,17,55
04/20/2020,2.24896577660775,49,6,6,2,52
04/21/2020,2.43210725335167,27,9,9,10,84
04/22/2020,1.91964664911238,36,10,3,3,46
04/23/2020,2.25140712945591,32,3,4,2,59
04/24/2020,2.36708981578696,26,8,3,7,63
04/25/2020,2.16091329165534,8,4,3,9,25
04/26/2020,1.13048215745029,33,7,2,0,32
04/27/2020,1.36662003658668,21,2,4,7,45
04/28/2020,1.81467619371668,28,5,5,5,45
04/29/2020,1.10915731096984,23,6,6,7,31
04/30/2020,1.652507855231,19,5,6,7,12
05/01/2020,1.26884285869212,20,4,4,2,41
05/02/2020,1.19722747321991,13,2,3,0,28
05/03/2020,0.364864864864865,14,1,3,8,22
05/04/2020,0.666331405582097,19,1,3,2,20
05/05/2020,0.416287238194354,9,0,2,4,49
05/06/2020,0.760589749590452,15,1,1,3,22
05/07/2020,0.668127053669222,13,1,1,4,24
05/08/2020,0.459162376513149,13,3,6,4,25
05/09/2020,0.541619156214367,10,0,2,0,8
05/10/2020,0.657596371882086,14,4,5,3,5
05/11/2020,0.498275201226524,9,3,5,3,21
05/12/2020,0.344362928582123,10,2,3,3,12
05/13/2020,0.491759702286018,10,1,3,2,30
05/14/2020,0.286495637452793,6,1,2,0,13
05/15/2020,0.236593059936909,2,0,0,0,9
05/16/2020,0.372300819061802,4,0,3,0,5
05/17/2020,0.355534486845224,9,4,4,5,0
05/18/2020,0.397234073856113,3,2,3,2,15
05/19/2020,0.338409475465313,7,1,2,0,17
05/20/2020,0.266903914590747,4,0,1,4,9
05/21/2020,0.303517229066238,8,0,0,0,12
05/22/2020,0.433181719731427,5,0,0,0,9
05/23/2020,0.746268656716418,3,0,0,0,0
05/24/2020,0.378016865367839,0,0,1,3,1
05/25/2020,0.45360824742268,8,1,2,1,22
05/26/2020,0.767813267813268,4,0,0,5,13
05/27/2020,0.620925178515989,4,2,2,0,4
05/28/2020,1.53081510934394,7,0,1,2,14
05/29/2020,6.26733222407099,5,1,0,0,1
05/30/2020,2.69230769230769,5,0,0,4,1
05/31/2020,1.6,5,1,0,1,2
06/01/2020,1.26454223571067,12,0,3,0,8
06/02/2020,1.04508550699603,12,1,2,4,14
06/03/2020,0.736026987656214,8,0,1,0,12
06/04/2020,0.957490153470053,11,3,0,1,3
06/05/2020,0.758409785932722,8,0,1,0,13
06/06/2020,0.681699003670687,9,3,4,0,10
06/07/2020,0.940228341168569,13,5,2,3,2
06/08/2020,1.2355052457206,17,1,0,0,7
06/09/2020,1.15739183096696,10,3,1,1,9
06/10/2020,1.31122252217509,24,1,1,0,20
06/11/2020,1.2271909534824,13,4,0,1,8
06/12/2020,1.42102810995496,13,2,0,3,13
06/13/2020,2.17740756977934,10,1,1,0,9
06/14/2020,1.57535039962933,15,3,2,4,5
06/15/2020,1.40965399401965,23,8,0,4,12
06/16/2020,1.86569508134933,22,2,1,0,17
06/17/2020,1.72049888071634,22,2,0,4,25
06/18/2020,1.79099184300745,40,4,0,1,14
06/19/2020,2.46625964010283,30,5,1,4,26
06/20/2020,2.71814404432133,34,3,1,1,10
06/21/2020,1.91983832940384,38,7,0,2,3
06/22/2020,2.54105059811279,23,6,1,6,39
06/23/2020,2.33298538622129,19,3,1,6,31
06/24/2020,2.71434967539736,32,4,0,0,32
06/25/2020,2.84808366245758,25,5,4,2,28
06/26/2020,2.86671630677587,47,6,3,2,19
06/27/2020,3.96019900497512,28,1,3,3,23
06/28/2020,3.8422649140546,46,5,1,5,26
06/29/2020,3.70224108993978,46,6,0,1,35
06/30/2020,3.87192851824274,53,12,1,0,29
07/01/2020,4.63731937977053,81,7,3,1,43
07/02/2020,4.69419716452357,64,18,1,5,57
07/03/2020,4.58365910867866,58,8,2,0,39
07/04/2020,4.90448529852087,59,9,4,3,45
07/05/2020,4.0961358140453,81,15,1,5,24
07/06/2020,4.57484642741675,81,11,6,7,54
07/07/2020,5.00343443837895,107,14,5,7,76
07/08/2020,4.6251881936907,91,25,5,1,63
07/09/2020,5.25207182320442,119,35,3,17,59
07/10/2020,5.68710787290022,87,15,4,6,70
07/11/2020,6.0601315377388,90,18,4,9,79
