date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel
02-Mar-2020,1,11,11,0,0,11,0,0,2321,0.004739336492891,5632,4,0
03-Mar-2020,0,10,10,0,0,10,0,0,2321,0.00430848772081,7857,7,0
04-Mar-2020,0,11,11,0,0,11,0,0,2321,0.004739336492891,7012,5,0
05-Mar-2020,1,13,13,1,0,12,0,0,2321,0.00560103403705299,7012,5,0
06-Mar-2020,1,16,16,2,0,14,1,0,2321,0.00689358035329599,5177,6,0
07-Mar-2020,1,20,20,3,0,17,2,0,2321,0.00861697544161999,4861,6,0
08-Mar-2020,2,26,26,5,0,21,4,0,2321,0.011202068074106,7330,9,0
09-Mar-2020,7,40,40,6,0,34,5,0,2321,0.01723395088324,6205,-1,0
10-Mar-2020,2,59,59,6,0,53,5,0,2321,0.025420077552779,6021,13,0
11-Mar-2020,10,81,81,7,1,73,6,0,2321,0.034898750538561,5980,11,0
12-Mar-2020,6,103,101,7,1,95,6,0,2321,0.044377423524343,5983,12,0
13-Mar-2020,10,123,122,7,4,112,6,0,2321,0.0529943989659629,4122,26,0
14-Mar-2020,20,162,161,6,4,152,4,0,2321,0.0697975010771219,3693,16,0
15-Mar-2020,37,201,199,9,6,186,6,0,2321,0.0866006031882809,5491,16,0
16-Mar-2020,27,221,215,11,5,205,7,0,2321,0.0952175786299009,4759,73,0
17-Mar-2020,46,256,256,12,6,238,7,0,2321,0.110297285652736,4338,122,0
18-Mar-2020,54,306,269,16,11,279,7,0,2321,0.131839724256786,3920,222,0
19-Mar-2020,31,295,264,21,11,263,12,0,2321,0.127100387763895,4054,352,0
20-Mar-2020,30,289,251,23,14,252,12,1,2321,0.124515295131409,3207,529,0
21-Mar-2020,34,276,273,27,21,228,15,0,2321,0.118914261094356,2905,713,0
22-Mar-2020,54,323,304,37,32,254,22,0,2321,0.139164153382163,4524,929,0
23-Mar-2020,58,350,323,42,36,272,24,0,2321,0.15079707022835,4053,1247,0
24-Mar-2020,82,393,343,45,48,300,26,3,2321,0.169323567427833,3963,1640,0
25-Mar-2020,81,412,396,48,53,311,27,1,2321,0.177509694097372,3666,1999,0
26-Mar-2020,82,464,413,54,65,345,31,5,2321,0.199913830245584,3925,2480,0
27-Mar-2020,110,515,468,65,69,381,36,2,2321,0.221887117621715,3267,2848,0
28-Mar-2020,53,512,485,69,82,361,39,0,2321,0.220594571305472,2834,3288,0
29-Mar-2020,70,542,514,78,87,377,50,3,2321,0.233520034467902,4289,3754,0
30-Mar-2020,122,619,571,88,104,427,55,1,2321,0.266695389918139,3886,4211,0
31-Mar-2020,111,667,627,97,115,455,64,4,2321,0.287376130978027,4005,4828,0
01-Apr-2020,147,769,728,111,143,515,72,8,2321,0.331322705730289,4088,4675,689
02-Apr-2020,115,812,727,113,145,554,79,10,2321,0.349849202929772,4284,5264,720
03-Apr-2020,96,803,718,129,159,515,92,5,2321,0.345971563981043,3494,5775,717
04-Apr-2020,73,789,751,139,171,479,107,6,2321,0.339939681171909,3155,6105,718
05-Apr-2020,100,825,743,135,194,496,106,6,2321,0.355450236966825,4495,6608,693
