date,amount,total,countDeadAvg7days
2020-03-02T00:00:00.000Z,0,1,
2020-03-03T00:00:00.000Z,0,1,0.0
2020-03-04T00:00:00.000Z,0,1,0.0
2020-03-05T00:00:00.000Z,0,1,0.0
2020-03-06T00:00:00.000Z,0,1,0.0
2020-03-07T00:00:00.000Z,0,1,0.0
2020-03-08T00:00:00.000Z,0,1,0.0
2020-03-09T00:00:00.000Z,0,1,0.0
2020-03-10T00:00:00.000Z,0,1,0.0
2020-03-11T00:00:00.000Z,0,1,0.0
2020-03-12T00:00:00.000Z,0,1,0.0
2020-03-13T00:00:00.000Z,0,1,0.0
2020-03-14T00:00:00.000Z,0,1,0.0
2020-03-15T00:00:00.000Z,0,1,0.0
2020-03-16T00:00:00.000Z,0,1,0.0
2020-03-17T00:00:00.000Z,0,1,0.0
2020-03-18T00:00:00.000Z,0,1,0.0
2020-03-19T00:00:00.000Z,0,1,0.0
2020-03-20T00:00:00.000Z,1,2,0.0
2020-03-21T00:00:00.000Z,0,2,0.0
2020-03-22T00:00:00.000Z,0,2,0.0
2020-03-23T00:00:00.000Z,0,2,0.0
2020-03-24T00:00:00.000Z,3,5,0.0
2020-03-25T00:00:00.000Z,1,6,0.0
2020-03-26T00:00:00.000Z,5,11,0.0
2020-03-27T00:00:00.000Z,2,13,1.0
2020-03-28T00:00:00.000Z,1,14,1.0
2020-03-29T00:00:00.000Z,3,17,1.0
2020-03-30T00:00:00.000Z,1,18,2.0
2020-03-31T00:00:00.000Z,4,22,2.0
2020-04-01T00:00:00.000Z,8,30,2.0
2020-04-02T00:00:00.000Z,9,39,3.0
2020-04-03T00:00:00.000Z,5,44,4.0
2020-04-04T00:00:00.000Z,6,50,4.0
2020-04-05T00:00:00.000Z,7,57,5.0
2020-04-06T00:00:00.000Z,8,65,5.0
2020-04-07T00:00:00.000Z,8,73,6.0
2020-04-08T00:00:00.000Z,8,81,7.0
2020-04-09T00:00:00.000Z,9,90,7.0
2020-04-10T00:00:00.000Z,8,98,7.0
2020-04-11T00:00:00.000Z,6,104,7.0
2020-04-12T00:00:00.000Z,6,110,7.0
2020-04-13T00:00:00.000Z,9,119,7.0
2020-04-14T00:00:00.000Z,8,127,7.0
2020-04-15T00:00:00.000Z,13,140,7.0
2020-04-16T00:00:00.000Z,7,147,8.0
2020-04-17T00:00:00.000Z,9,156,8.0
2020-04-18T00:00:00.000Z,11,167,8.0
2020-04-19T00:00:00.000Z,8,175,9.0
2020-04-20T00:00:00.000Z,6,181,9.0
2020-04-21T00:00:00.000Z,10,191,8.0
2020-04-22T00:00:00.000Z,3,194,9.0
2020-04-23T00:00:00.000Z,4,198,7.0
2020-04-24T00:00:00.000Z,3,201,7.0
2020-04-25T00:00:00.000Z,3,204,6.0
