date,new_critical,discharged,deceased,critical_total
03/01/2020,0,0,0,0
03/02/2020,0,0,0,0
03/03/2020,0,-0,0,0
03/04/2020,0,-0,0,0
03/05/2020,1,-0,0,1
03/06/2020,1,-0,0,2
03/07/2020,1,-0,0,3
03/08/2020,2,-0,0,5
03/09/2020,1,-0,0,6
03/10/2020,0,-0,0,6
03/11/2020,1,-0,0,7
03/12/2020,0,-0,0,7
03/13/2020,0,-0,0,7
03/14/2020,1,2,0,6
03/15/2020,3,-0,0,9
03/16/2020,2,-0,0,11
03/17/2020,1,-0,0,12
03/18/2020,2,-4,1,17
03/19/2020,5,1,0,21
03/20/2020,3,-0,1,23
03/21/2020,3,-1,0,27
03/22/2020,10,-1,0,38
03/23/2020,6,-0,0,44
03/24/2020,6,-1,3,48
03/25/2020,5,-0,1,52
03/26/2020,9,-0,5,56
03/27/2020,11,-1,2,66
03/28/2020,5,-0,1,70
03/29/2020,13,-0,3,80
03/30/2020,9,-2,1,90
03/31/2020,16,3,4,99
04/01/2020,24,4,8,111
04/02/2020,13,2,9,113
04/03/2020,20,-3,5,131
04/04/2020,15,-0,6,140
04/05/2020,5,3,7,135
04/06/2020,23,3,8,147
04/07/2020,17,-3,7,160
04/08/2020,18,3,9,166
04/09/2020,16,7,9,166
04/10/2020,11,-1,8,170
04/11/2020,26,8,6,182
04/12/2020,21,19,7,177
04/13/2020,29,6,8,192
04/14/2020,5,11,8,178
04/15/2020,15,1,13,179
04/16/2020,9,-1,7,182
04/17/2020,8,16,9,165
04/18/2020,14,-6,11,174
04/19/2020,8,17,8,157
04/20/2020,6,3,6,154
04/21/2020,9,9,9,145
04/22/2020,10,3,3,149
04/23/2020,3,2,4,146
04/24/2020,8,7,3,144
04/25/2020,4,9,3,136
04/26/2020,7,-1,2,142
04/27/2020,2,8,4,132
04/28/2020,5,5,5,127
04/29/2020,6,5,6,122
04/30/2020,5,9,6,112
05/01/2020,4,3,4,109
05/02/2020,2,-3,3,111
05/03/2020,1,8,3,101
05/04/2020,1,2,3,97
05/05/2020,0,4,2,91
05/06/2020,1,3,1,88
05/07/2020,1,4,1,84
05/08/2020,3,3,6,78
05/09/2020,0,-2,2,78
05/10/2020,4,3,5,74
05/11/2020,3,3,5,69
05/12/2020,2,3,3,65
05/13/2020,1,2,3,61
05/14/2020,1,-1,2,61
05/15/2020,0,-0,0,61
05/16/2020,0,-2,3,60
05/17/2020,4,5,4,55
05/18/2020,2,2,3,52
05/19/2020,1,-0,2,51
05/20/2020,0,4,1,46
05/21/2020,0,-1,0,47
05/22/2020,0,1,0,46
05/23/2020,0,-0,0,46
05/24/2020,0,2,1,43
05/25/2020,1,1,2,41
05/26/2020,0,5,0,36
05/27/2020,2,-4,2,40
05/28/2020,0,3,1,36
05/29/2020,1,-2,0,39
05/30/2020,0,4,0,35
05/31/2020,1,1,0,35
06/01/2020,0,-0,3,32
06/02/2020,1,2,2,29
06/03/2020,0,-0,1,28
06/04/2020,3,1,0,30
06/05/2020,0,-0,1,29
06/06/2020,3,-1,4,29
06/07/2020,5,3,2,29
06/08/2020,1,-0,0,30
06/09/2020,3,1,1,31
06/10/2020,1,-1,1,32
06/11/2020,4,1,0,35
06/12/2020,2,2,0,35
06/13/2020,1,-0,1,35
06/14/2020,3,5,2,31
06/15/2020,8,3,0,36
06/16/2020,2,-1,1,38
06/17/2020,2,4,0,36
06/18/2020,4,-0,0,40
06/19/2020,5,5,1,39
06/20/2020,3,-0,1,41
06/21/2020,7,3,0,45
06/22/2020,6,7,1,43
06/23/2020,3,4,2,40
06/24/2020,4,-4,3,45
06/25/2020,5,2,4,44
06/26/2020,6,2,3,45
06/27/2020,1,3,3,40
06/28/2020,5,4,2,39
06/29/2020,6,1,0,44
06/30/2020,12,-1,1,56
07/01/2020,7,1,3,59
07/02/2020,18,4,1,72
07/03/2020,8,-5,2,83
07/04/2020,9,1,6,85
07/05/2020,15,4,2,94
07/06/2020,11,7,8,90
07/07/2020,14,6,5,93
07/08/2020,25,-0,5,113
07/09/2020,35,17,5,126
07/10/2020,15,6,4,131
07/11/2020,18,8,5,136
07/12/2020,31,9,7,151
07/13/2020,42,5,4,184
07/14/2020,33,21,7,189
07/15/2020,34,8,6,209
07/16/2020,28,19,9,209
07/17/2020,26,4,12,219
07/18/2020,28,3,8,236
