date,residents,staff
08/03/2020,,
15/03/2020,,
22/03/2020,,
29/03/2020,135,
05/04/2020,134,
12/04/2020,152,
19/04/2020,75,
26/04/2020,,
03/05/2020,,
10/05/2020,,
17/05/2020,,
24/05/2020,,
31/05/2020,,
07/06/2020,,
14/06/2020,,
21/06/2020,,
28/06/2020,122,
05/07/2020,185,
12/07/2020,239,83
19/07/2020,264,135
26/07/2020,237,108
02/08/2020,240,128
09/08/2020,198,
16/08/2020,257,105
23/08/2020,242,131
30/08/2020,329,164
06/09/2020,320,188
13/09/2020,512,277
20/09/2020,734,366
27/09/2020,682,282
04/10/2020,592,193
11/10/2020,394,123
18/10/2020,241,
25/10/2020,131,
01/11/2020,119,
08/11/2020,131,81
15/11/2020,90,82
22/11/2020,,139
29/11/2020,232,177
06/12/2020,339,323
13/12/2020,481,411
20/12/2020,530,632
27/12/2020,647,683
03/01/2021,1132,966
10/01/2021,1142,902
17/01/2021,817,736
24/01/2021,635,551
