date,confirmed,confirmed_or_vaccinated,immune,herd_immunity
19-Jun-2020 00:00:00,19667,19667,105376.857142857,1.1
20-Jun-2020 00:00:00,19964,19964,106959.714285714,1.1
21-Jun-2020 00:00:00,20107,20107,107726.571428571,1.1
22-Jun-2020 00:00:00,20403,20403,109325.142857143,1.1
23-Jun-2020 00:00:00,20804,20804,111514.571428571,1.2
24-Jun-2020 00:00:00,21316,21316,114280.285714286,1.2
25-Jun-2020 00:00:00,21667,21667,116179.714285714,1.2
26-Jun-2020 00:00:00,22051,22051,118270,1.2
27-Jun-2020 00:00:00,22651,22651,121559.428571429,1.3
28-Jun-2020 00:00:00,22963,22963,123215.142857143,1.3
29-Jun-2020 00:00:00,23633,23633,126874.285714286,1.3
30-Jun-2020 00:00:00,24406,24406,131083.428571429,1.4
01-Jul-2020 00:00:00,25394,25394,136485.428571429,1.4
02-Jul-2020 00:00:00,26188,26188,140853.714285714,1.5
03-Jul-2020 00:00:00,27167,27167,146169.714285714,1.5
04-Jul-2020 00:00:00,28277,28277,152254.857142857,1.6
05-Jul-2020 00:00:00,29059,29059,156526.857142857,1.6
06-Jul-2020 00:00:00,29840,29840,160793.142857143,1.7
07-Jul-2020 00:00:00,31279,31279,168664.857142857,1.8
08-Jul-2020 00:00:00,32614,32614,175974.571428571,1.8
09-Jul-2020 00:00:00,33889,33889,182950.857142857,1.9
10-Jul-2020 00:00:00,35289,35289,190597.714285714,2
11-Jul-2020 00:00:00,36468,36468,197042.857142857,2.1
12-Jul-2020 00:00:00,37672,37672,203637.428571429,2.1
13-Jul-2020 00:00:00,39598,39598,214152.285714286,2.2
14-Jul-2020 00:00:00,41288,41288,223402.857142857,2.3
15-Jul-2020 00:00:00,43093,43093,233261.714285714,2.4
16-Jul-2020 00:00:00,44982,44982,243550.857142857,2.6
17-Jul-2020 00:00:00,46379,46379,251213.428571429,2.6
18-Jul-2020 00:00:00,48243,48243,261420.285714286,2.7
19-Jul-2020 00:00:00,49196,49196,266594.571428571,2.8
20-Jul-2020 00:00:00,50924,50924,275995.142857143,2.9
21-Jul-2020 00:00:00,52925,52925,286997.714285714,3
22-Jul-2020 00:00:00,54966,54966,298143.714285714,3.1
23-Jul-2020 00:00:00,56823,56823,308328.857142857,3.2
24-Jul-2020 00:00:00,58296,58296,316415.714285714,3.3
25-Jul-2020 00:00:00,59486,59486,322932.285714286,3.4
26-Jul-2020 00:00:00,60748,60748,329769.714285714,3.5
27-Jul-2020 00:00:00,62783,62783,340875.142857143,3.6
