date,tests,positive,local,incoming,incoming_tests
07-Apr-2021,47157,277,264,13,NaN
08-Apr-2021,38113,210,187,23,NaN
09-Apr-2021,36046,224,204,20,NaN
10-Apr-2021,11188,88,82,6,NaN
11-Apr-2021,33688,141,134,7,NaN
12-Apr-2021,50871,221,217,4,NaN
13-Apr-2021,62973,201,157,44,NaN
14-Apr-2021,51476,202,174,28,NaN
15-Apr-2021,14218,97,94,3,NaN
16-Apr-2021,30592,107,90,17,NaN
17-Apr-2021,11152,88,76,12,NaN
18-Apr-2021,33945,143,131,12,4931
19-Apr-2021,46073,137,124,13,1540
20-Apr-2021,46359,162,143,19,2158
21-Apr-2021,41280,118,112,6,755
22-Apr-2021,31618,130,121,9,4300
23-Apr-2021,35245,112,101,11,NaN
24-Apr-2021,8762,41,29,12,1869
25-Apr-2021,28338,77,73,4,4355
26-Apr-2021,36111,96,87,9,NaN
27-Apr-2021,31255,88,77,11,2565
28-Apr-2021,34946,98,93,5,NaN
29-Apr-2021,31718,98,90,8,NaN
30-Apr-2021,35430,80,71,9,NaN
01-May-2021,9169,16,16,0,5303
02-May-2021,25566,52,40,12,7142
03-May-2021,33707,67,57,10,7168
04-May-2021,33889,63,60,3,4210
05-May-2021,34913,70,63,7,5298
06-May-2021,28526,50,42,8,7197
07-May-2021,32904,35,32,3,6249
08-May-2021,10397,18,17,1,2721
09-May-2021,23529,34,26,8,7857
10-May-2021,35517,55,46,9,8004
11-May-2021,31566,39,35,4,4619
12-May-2021,28694,28,25,3,3761
13-May-2021,20927,30,27,3,4103
14-May-2021,20244,29,25,4,4753
15-May-2021,5525,21,21,0,913
16-May-2021,14776,30,27,3,6490
17-May-2021,8745,15,14,1,4024
18-May-2021,23844,23,18,5,8376
19-May-2021,28411,59,54,5,6442
20-May-2021,22040,37,31,6,8044
21-May-2021,26955,23,21,2,5348
22-May-2021,6919,14,6,8,2298
23-May-2021,18390,26,23,3,9426
24-May-2021,32275,29,25,4,9492
25-May-2021,26674,23,19,4,5748
26-May-2021,25934,16,9,7,7401
27-May-2021,27738,13,11,2,9876
28-May-2021,31828,18,12,6,6195
29-May-2021,9340,13,11,2,3687
30-May-2021,19780,5,3,2,10364
31-May-2021,25471,15,2,13,11376
01-Jun-2021,21750,48,39,9,6675
02-Jun-2021,17243,14,13,1,8109
03-Jun-2021,15803,12,4,8,10636
04-Jun-2021,17991,32,25,7,7436
05-Jun-2021,7332,6,6,0,4422
06-Jun-2021,16034,5,1,4,12324
07-Jun-2021,23016,7,-6,13,12358
08-Jun-2021,21243,30,25,5,7277
09-Jun-2021,16937,8,4,4,9421
10-Jun-2021,17679,19,6,13,13239
11-Jun-2021,17477,18,7,11,9351
12-Jun-2021,10430,5,2,3,5049
13-Jun-2021,18547,3,-9,12,15300
14-Jun-2021,26332,26,3,23,14688
15-Jun-2021,22503,27,24,3,9335
16-Jun-2021,18399,13,9,4,10826
17-Jun-2021,16588,27,17,10,14880
18-Jun-2021,20294,35,26,9,11414
19-Jun-2021,12655,48,46,2,6756
20-Jun-2021,24652,52,47,5,16886
21-Jun-2021,32418,125,109,16,16527
22-Jun-2021,30911,110,92,18,10941
23-Jun-2021,29659,141,135,6,11973
24-Jun-2021,29887,232,217,15,17282
25-Jun-2021,39766,232,208,24,14628
26-Jun-2021,21859,116,106,10,7805
27-Jun-2021,30382,146,108,38,19271
28-Jun-2021,47671,287,242,45,18967
29-Jun-2021,46862,295,276,19,13568
30-Jun-2021,43642,312,278,34,14335
01-Jul-2021,44597,298,272,26,17846
02-Jul-2021,49699,327,294,33,13790
03-Jul-2021,27152,188,177,11,9157
04-Jul-2021,36504,352,320,32,19640
05-Jul-2021,53793,508,456,52,18481
06-Jul-2021,60686,529,477,52,15196
07-Jul-2021,54846,527,497,30,14561
08-Jul-2021,52115,471,404,67,20143
09-Jul-2021,61506,539,474,65,16234
10-Jul-2021,34574,264,234,30,11104
11-Jul-2021,42471,442,371,71,20771
12-Jul-2021,62138,766,614,152,19709
13-Jul-2021,62200,755,617,138,16161
14-Jul-2021,63080,781,715,66,16568
15-Jul-2021,65607,869,738,131,20597
16-Jul-2021,81877,1144,1059,85,17284
17-Jul-2021,33001,436,354,82,11782
18-Jul-2021,56701,841,701,140,20347
19-Jul-2021,84223,1387,1232,155,17843
20-Jul-2021,90595,1422,1311,111,12758
21-Jul-2021,85877,1351,1226,125,16241
22-Jul-2021,78814,1294,1126,168,24356
23-Jul-2021,98252,1445,1243,202,21171
24-Jul-2021,60719,973,827,146,16701
25-Jul-2021,77027,1419,1182,237,26340
26-Jul-2021,102783,2146,1921,225,24604
27-Jul-2021,106029,2303,2081,222,20268
28-Jul-2021,102847,2206,2005,201,22197
29-Jul-2021,102056,2188,1924,264,26196
30-Jul-2021,111131,2464,2300,164,19972
31-Jul-2021,73837,2121,1926,195,14715
01-Aug-2021,80657,2137,1931,206,22554
02-Aug-2021,113799,3879,3679,200,22954
03-Aug-2021,110667,3331,3168,163,17481
04-Aug-2021,117291,3535,3315,220,20926
05-Aug-2021,116110,3925,3677,248,22146
06-Aug-2021,116006,3932,3761,171,17465
07-Aug-2021,83868,2959,2857,102,9708
08-Aug-2021,92862,3464,3231,233,20400
09-Aug-2021,142075,6410,6172,238,22105
10-Aug-2021,132830,5889,5722,167,19200
11-Aug-2021,139703,6067,5859,208,14716
12-Aug-2021,129807,6182,5999,183,15593
13-Aug-2021,131061,5999,5860,139,12731
14-Aug-2021,83151,4249,4140,109,8320
15-Aug-2021,92695,5203,5026,177,19640
16-Aug-2021,152755,8810,8666,144,14889
17-Aug-2021,149331,8015,7902,113,12461
18-Aug-2021,151864,8028,7920,108,13249
19-Aug-2021,146490,7851,7676,175,16822
20-Aug-2021,150614,7929,7800,129,13811
21-Aug-2021,102451,5421,5372,49,8201
22-Aug-2021,110967,6614,6425,189,15430
23-Aug-2021,158476,10120,9978,142,16453
24-Aug-2021,155607,10092,9962,130,12630
25-Aug-2021,148612,9249,9109,140,13579
26-Aug-2021,149348,9135,8958,177,14682
27-Aug-2021,140096,8719,8595,124,11798
28-Aug-2021,107436,7347,7304,43,6727
29-Aug-2021,91345,6811,6690,121,13014
30-Aug-2021,152026,11152,11025,127,13545
31-Aug-2021,162317,10458,10345,113,9834
01-Sep-2021,149440,11303,11226,77,9113
02-Sep-2021,141044,11363,11278,85,11584
03-Sep-2021,149806,9926,9851,75,10829
04-Sep-2021,90418,5051,5022,29,5147
05-Sep-2021,114504,5862,5776,86,11760
06-Sep-2021,187196,10873,10833,40,8553
07-Sep-2021,98096,6871,6848,23,4098
08-Sep-2021,63279,3321,3306,15,5823
09-Sep-2021,136362,7975,6109,1866,21359
10-Sep-2021,181175,9892,8734,1158,17481
11-Sep-2021,166307,10300,10267,33,9463
12-Sep-2021,158515,7850,7496,354,16009
13-Sep-2021,189200,10946,10675,271,14651
14-Sep-2021,176501,9872,9678,194,14993
15-Sep-2021,159310,8867,8778,89,8143
16-Sep-2021,55093,3289,3288,1,17
17-Sep-2021,94192,5025,4986,39,15467
18-Sep-2021,144259,8649,8635,14,13048
19-Sep-2021,133147,6557,6484,73,21453
20-Sep-2021,181593,8830,8788,42,19470
21-Sep-2021,108954,4823,4809,14,11850
