date,new_critical
1/26/2020 12:00:00 AM,
1/27/2020 12:00:00 AM,
1/28/2020 12:00:00 AM,
1/29/2020 12:00:00 AM,
1/30/2020 12:00:00 AM,
1/31/2020 12:00:00 AM,
2/1/2020 12:00:00 AM,
2/2/2020 12:00:00 AM,
2/3/2020 12:00:00 AM,
2/4/2020 12:00:00 AM,
2/5/2020 12:00:00 AM,
2/6/2020 12:00:00 AM,
2/7/2020 12:00:00 AM,
2/8/2020 12:00:00 AM,
2/9/2020 12:00:00 AM,
2/10/2020 12:00:00 AM,
2/11/2020 12:00:00 AM,
2/12/2020 12:00:00 AM,
2/13/2020 12:00:00 AM,
2/14/2020 12:00:00 AM,
2/15/2020 12:00:00 AM,
2/16/2020 12:00:00 AM,
2/17/2020 12:00:00 AM,
2/18/2020 12:00:00 AM,
2/19/2020 12:00:00 AM,
2/20/2020 12:00:00 AM,
2/21/2020 12:00:00 AM,
2/22/2020 12:00:00 AM,
2/23/2020 12:00:00 AM,
2/24/2020 12:00:00 AM,
2/25/2020 12:00:00 AM,
2/26/2020 12:00:00 AM,
2/27/2020 12:00:00 AM,
2/28/2020 12:00:00 AM,
2/29/2020 12:00:00 AM,
3/1/2020 12:00:00 AM,
3/2/2020 12:00:00 AM,
3/3/2020 12:00:00 AM,
3/4/2020 12:00:00 AM,
3/5/2020 12:00:00 AM,
3/6/2020 12:00:00 AM,
3/7/2020 12:00:00 AM,
3/8/2020 12:00:00 AM,
3/9/2020 12:00:00 AM,
3/10/2020 12:00:00 AM,
3/11/2020 12:00:00 AM,
3/12/2020 12:00:00 AM,
3/13/2020 12:00:00 AM,
3/14/2020 12:00:00 AM,
3/15/2020 12:00:00 AM,3
3/16/2020 12:00:00 AM,2
3/17/2020 12:00:00 AM,1
3/18/2020 12:00:00 AM,2
3/19/2020 12:00:00 AM,5
3/20/2020 12:00:00 AM,3
3/21/2020 12:00:00 AM,3
3/22/2020 12:00:00 AM,10
3/23/2020 12:00:00 AM,6
3/24/2020 12:00:00 AM,6
3/25/2020 12:00:00 AM,5
3/26/2020 12:00:00 AM,9
3/27/2020 12:00:00 AM,11
3/28/2020 12:00:00 AM,5
3/29/2020 12:00:00 AM,13
3/30/2020 12:00:00 AM,9
3/31/2020 12:00:00 AM,16
4/1/2020 12:00:00 AM,24
4/2/2020 12:00:00 AM,13
4/3/2020 12:00:00 AM,20
4/4/2020 12:00:00 AM,15
4/5/2020 12:00:00 AM,5
4/6/2020 12:00:00 AM,23
4/7/2020 12:00:00 AM,17
4/8/2020 12:00:00 AM,18
4/9/2020 12:00:00 AM,16
4/10/2020 12:00:00 AM,11
4/11/2020 12:00:00 AM,26
4/12/2020 12:00:00 AM,21
4/13/2020 12:00:00 AM,29
4/14/2020 12:00:00 AM,5
4/15/2020 12:00:00 AM,15
4/16/2020 12:00:00 AM,9
4/17/2020 12:00:00 AM,8
4/18/2020 12:00:00 AM,14
4/19/2020 12:00:00 AM,8
4/20/2020 12:00:00 AM,6
4/21/2020 12:00:00 AM,9
4/22/2020 12:00:00 AM,10
4/23/2020 12:00:00 AM,3
4/24/2020 12:00:00 AM,8
4/25/2020 12:00:00 AM,4
4/26/2020 12:00:00 AM,7
4/27/2020 12:00:00 AM,2
4/28/2020 12:00:00 AM,5
4/29/2020 12:00:00 AM,6
4/30/2020 12:00:00 AM,5
5/1/2020 12:00:00 AM,4
5/2/2020 12:00:00 AM,2
5/3/2020 12:00:00 AM,1
5/4/2020 12:00:00 AM,1
5/5/2020 12:00:00 AM,0
5/6/2020 12:00:00 AM,1
5/7/2020 12:00:00 AM,1
5/8/2020 12:00:00 AM,3
5/9/2020 12:00:00 AM,0
5/10/2020 12:00:00 AM,4
5/11/2020 12:00:00 AM,3
5/12/2020 12:00:00 AM,2
5/13/2020 12:00:00 AM,1
5/14/2020 12:00:00 AM,1
5/15/2020 12:00:00 AM,0
5/16/2020 12:00:00 AM,0
5/17/2020 12:00:00 AM,4
5/18/2020 12:00:00 AM,2
5/19/2020 12:00:00 AM,1
5/20/2020 12:00:00 AM,0
5/21/2020 12:00:00 AM,0
5/22/2020 12:00:00 AM,0
5/23/2020 12:00:00 AM,0
5/24/2020 12:00:00 AM,0
5/25/2020 12:00:00 AM,1
5/26/2020 12:00:00 AM,0
5/27/2020 12:00:00 AM,2
5/28/2020 12:00:00 AM,0
5/29/2020 12:00:00 AM,1
5/30/2020 12:00:00 AM,0
5/31/2020 12:00:00 AM,1
6/1/2020 12:00:00 AM,0
6/2/2020 12:00:00 AM,1
6/3/2020 12:00:00 AM,0
6/4/2020 12:00:00 AM,3
6/5/2020 12:00:00 AM,0
6/6/2020 12:00:00 AM,3
6/7/2020 12:00:00 AM,5
6/8/2020 12:00:00 AM,1
6/9/2020 12:00:00 AM,3
6/10/2020 12:00:00 AM,1
6/11/2020 12:00:00 AM,4
6/12/2020 12:00:00 AM,2
6/13/2020 12:00:00 AM,1
6/14/2020 12:00:00 AM,3
6/15/2020 12:00:00 AM,8
6/16/2020 12:00:00 AM,2
6/17/2020 12:00:00 AM,2
6/18/2020 12:00:00 AM,4
6/19/2020 12:00:00 AM,5
6/20/2020 12:00:00 AM,3
6/21/2020 12:00:00 AM,7
6/22/2020 12:00:00 AM,2
6/23/2020 12:00:00 AM,
6/24/2020 12:00:00 AM,
6/25/2020 12:00:00 AM,
6/26/2020 12:00:00 AM,
6/27/2020 12:00:00 AM,
6/28/2020 12:00:00 AM,
6/29/2020 12:00:00 AM,
6/30/2020 12:00:00 AM,
7/1/2020 12:00:00 AM,
7/2/2020 12:00:00 AM,
7/3/2020 12:00:00 AM,
7/4/2020 12:00:00 AM,
7/5/2020 12:00:00 AM,
7/6/2020 12:00:00 AM,
7/7/2020 12:00:00 AM,
7/8/2020 12:00:00 AM,
7/9/2020 12:00:00 AM,
