date,CountSeriousCriticalCum,serious_critical_new,maagar,telegram_severe,telegram_crit
01-Sep-2020,49,51,39,36,12
02-Sep-2020,59,65,51,48,16
03-Sep-2020,36,40,31,29,6
04-Sep-2020,55,62,54,53,7
05-Sep-2020,57,67,53,49,17
06-Sep-2020,59,79,59,57,11
07-Sep-2020,54,62,54,50,11
08-Sep-2020,69,68,60,61,14
09-Sep-2020,86,86,79,76,14
10-Sep-2020,74,78,76,71,17
11-Sep-2020,57,59,53,52,12
12-Sep-2020,75,80,63,63,9
13-Sep-2020,82,79,72,69,11
14-Sep-2020,77,79,71,66,15
15-Sep-2020,73,76,67,67,11
16-Sep-2020,93,101,85,80,16
17-Sep-2020,104,114,105,NaN,NaN
18-Sep-2020,94,105,76,79,21
19-Sep-2020,90,83,77,76,25
20-Sep-2020,84,94,77,77,14
21-Sep-2020,121,127,107,105,21
22-Sep-2020,100,96,85,92,25
23-Sep-2020,106,128,101,91,13
24-Sep-2020,121,112,97,90,32
25-Sep-2020,123,137,115,108,22
26-Sep-2020,112,105,91,89,28
27-Sep-2020,131,125,112,120,29
28-Sep-2020,97,100,79,83,27
29-Sep-2020,139,143,127,127,29
30-Sep-2020,146,142,124,121,32
01-Oct-2020,141,140,122,120,24
02-Oct-2020,115,125,99,101,24
03-Oct-2020,100,101,84,82,28
04-Oct-2020,154,163,129,134,27
05-Oct-2020,130,117,104,113,35
06-Oct-2020,108,104,85,86,29
07-Oct-2020,120,113,94,90,33
08-Oct-2020,122,121,96,97,32
09-Oct-2020,87,86,75,73,17
10-Oct-2020,78,71,57,55,28
11-Oct-2020,122,124,100,95,31
12-Oct-2020,93,88,71,74,25
13-Oct-2020,80,81,67,72,17
14-Oct-2020,83,83,70,71,18
15-Oct-2020,74,77,59,56,28
16-Oct-2020,57,57,40,41,17
17-Oct-2020,48,48,37,NaN,NaN
18-Oct-2020,91,107,79,46,18
19-Oct-2020,79,75,57,15,7
