date,over60,y40_60,below40,total,over60vacc,y40_60vacc,below40vacc,total_vacc
01-Dec-2020,33,10,1,44,NaN,NaN,NaN,NaN
02-Dec-2020,27,9,3,39,NaN,NaN,NaN,NaN
03-Dec-2020,31,9,4,44,NaN,NaN,NaN,NaN
04-Dec-2020,35,7,1,43,NaN,NaN,NaN,NaN
05-Dec-2020,25,5,2,32,NaN,NaN,NaN,NaN
06-Dec-2020,20,14,3,37,NaN,NaN,NaN,NaN
07-Dec-2020,26,8,1,35,NaN,NaN,NaN,NaN
08-Dec-2020,22,5,2,29,NaN,NaN,NaN,NaN
09-Dec-2020,26,7,3,36,NaN,NaN,NaN,NaN
10-Dec-2020,24,12,2,38,NaN,NaN,NaN,NaN
11-Dec-2020,37,15,1,53,NaN,NaN,NaN,NaN
12-Dec-2020,24,12,2,38,NaN,NaN,NaN,NaN
13-Dec-2020,40,15,3,58,NaN,NaN,NaN,NaN
14-Dec-2020,37,14,0,51,NaN,NaN,NaN,NaN
15-Dec-2020,44,10,2,56,NaN,NaN,NaN,NaN
16-Dec-2020,47,11,2,60,NaN,NaN,NaN,NaN
17-Dec-2020,49,19,3,71,NaN,NaN,NaN,NaN
18-Dec-2020,47,9,2,58,NaN,NaN,NaN,NaN
19-Dec-2020,40,17,2,59,NaN,NaN,NaN,NaN
20-Dec-2020,50,11,2,63,NaN,NaN,NaN,NaN
21-Dec-2020,53,11,2,66,NaN,NaN,NaN,NaN
22-Dec-2020,60,17,1,78,NaN,NaN,NaN,NaN
23-Dec-2020,51,22,4,77,NaN,NaN,NaN,NaN
24-Dec-2020,51,18,3,72,NaN,NaN,NaN,NaN
25-Dec-2020,58,19,5,82,NaN,NaN,NaN,NaN
26-Dec-2020,55,15,6,76,NaN,NaN,NaN,NaN
27-Dec-2020,57,19,7,83,NaN,NaN,NaN,NaN
28-Dec-2020,72,18,5,95,NaN,NaN,NaN,NaN
29-Dec-2020,67,20,4,91,NaN,NaN,NaN,NaN
30-Dec-2020,76,18,6,100,NaN,NaN,NaN,NaN
31-Dec-2020,78,27,4,109,NaN,NaN,NaN,NaN
01-Jan-2021,77,24,1,102,NaN,NaN,NaN,NaN
02-Jan-2021,71,8,2,81,NaN,NaN,NaN,NaN
03-Jan-2021,96,14,3,113,NaN,NaN,NaN,NaN
04-Jan-2021,106,19,3,128,NaN,NaN,NaN,NaN
05-Jan-2021,103,27,10,140,NaN,NaN,NaN,NaN
06-Jan-2021,108,25,8,141,NaN,NaN,NaN,NaN
07-Jan-2021,98,30,6,134,NaN,NaN,NaN,NaN
