date,m0_9,m10_19,m20_29,m30_39,m40_49,m50_59,m60_69,m70_79,m80_89,m90_,f0_9,f10_19,f20_29,f30_39,f40_49,f50_59,f60_69,f70_79,f80_89,f90_
21-Apr-2021 00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28-Apr-2021 00:00:00,1,0,0,1,1,0,0,7,5,3,1,1,0,1,0,6,11,3,3,5
05-May-2021 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-May-2021 00:00:00,0,0,0,0,0,4,0,7,0,0,0,1,2,3,0,0,8,4,0,3
19-May-2021 00:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0
26-May-2021 00:00:00,1,0,0,2,0,5,1,5,1,1,0,0,1,0,0,0,0,2,0,2
02-Jun-2021 00:00:00,0,0,0,2,0,2,5,0,1,1,0,0,0,0,0,0,1,0,2,3
09-Jun-2021 00:00:00,0,0,0,0,3,3,10,0,7,3,0,0,0,5,0,3,0,2,2,3
16-Jun-2021 00:00:00,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3
23-Jun-2021 00:00:00,3,1,0,0,1,1,0,7,0,1,0,0,3,0,0,3,3,0,4,1
30-Jun-2021 00:00:00,0,0,0,0,0,0,1,3,5,0,0,0,1,1,1,2,1,1,3,0
07-Jul-2021 00:00:00,0,0,0,0,0,0,6,5,6,1,0,0,1,2,3,0,11,10,5,2
14-Jul-2021 00:00:00,1,0,0,0,4,0,6,8,5,3,1,1,0,0,0,2,6,16,8,2
21-Jul-2021 00:00:00,0,0,2,1,2,8,9,15,11,4,0,0,0,3,3,8,4,13,9,8
28-Jul-2021 00:00:00,0,0,0,0,8,7,23,29,28,9,1,0,2,3,5,14,14,24,24,17
04-Aug-2021 00:00:00,0,1,1,0,10,22,37,64,54,8,0,1,0,4,14,8,24,42,55,30
11-Aug-2021 00:00:00,1,3,0,3,17,30,57,75,76,18,1,2,0,12,3,24,36,40,64,23
18-Aug-2021 00:00:00,2,0,7,13,24,54,62,71,76,13,2,1,3,16,25,31,62,51,65,24
25-Aug-2021 00:00:00,6,0,4,17,29,37,82,72,48,12,3,1,13,13,26,36,46,68,57,24
01-Sep-2021 00:00:00,0,2,4,13,33,49,44,63,50,17,0,2,5,14,15,30,55,50,42,37
08-Sep-2021 00:00:00,8,2,9,18,37,48,56,53,40,9,0,0,9,16,34,27,50,31,52,15
15-Sep-2021 00:00:00,0,2,6,29,38,43,33,36,36,12,1,2,10,18,37,29,50,44,42,21
22-Sep-2021 00:00:00,5,0,5,20,35,44,52,31,26,6,3,0,9,14,29,37,29,45,32,21
29-Sep-2021 00:00:00,0,1,4,6,26,24,32,28,18,11,0,0,7,13,13,24,27,34,26,10
06-Oct-2021 00:00:00,1,0,0,6,14,22,13,20,15,5,0,5,1,10,16,17,13,22,22,8
13-Oct-2021 00:00:00,3,4,3,0,4,15,25,18,10,7,3,0,9,6,4,10,22,11,14,8
20-Oct-2021 00:00:00,3,0,0,7,0,4,7,9,7,1,2,0,1,0,6,12,10,6,9,2
27-Oct-2021 00:00:00,0,1,2,0,5,5,8,9,5,5,0,0,3,3,1,0,12,8,3,4
03-Nov-2021 00:00:00,0,1,0,3,4,1,6,3,1,0,0,2,0,0,3,6,0,6,3,2
10-Nov-2021 00:00:00,0,0,0,3,0,5,3,6,6,2,0,0,0,0,3,3,2,8,2,2
17-Nov-2021 00:00:00,0,1,0,0,0,0,7,7,3,0,1,0,3,3,0,1,3,6,4,2
24-Nov-2021 00:00:00,1,1,1,0,0,0,3,2,10,0,0,0,0,4,1,8,2,6,0,2
01-Dec-2021 00:00:00,0,0,0,2,0,2,3,5,2,1,0,0,2,3,1,4,0,0,6,5
