date,day,New severe,released,improved,deceased
08/13/2021,Fri,104,24,27,23
08/14/2021,Sat,85,27,18,20
08/15/2021,Sun,111,5,42,18
08/16/2021,Mon,86,48,25,20
08/17/2021,Tue,100,20,37,12
08/18/2021,Wed,106,27,24,23
08/19/2021,Thu,86,35,27,24
08/20/2021,Fri,98,47,19,21
08/21/2021,Sat,100,17,15,23
08/22/2021,Sun,110,12,35,28
08/23/2021,Mon,115,64,29,17
08/24/2021,Tue,101,47,32,22
08/25/2021,Wed,107,43,36,22
08/26/2021,Thu,98,58,19,26
08/27/2021,Fri,100,43,33,22
08/28/2021,Sat,86,42,28,19
08/29/2021,Sun,118,7,26,24
08/30/2021,Mon,106,59,34,20
08/31/2021,Tue,96,74,36,25
09/01/2021,Wed,88,55,30,30
09/02/2021,Thu,81,52,24,26
09/03/2021,Fri,80,48,15,29
09/04/2021,Sat,81,21,27,24
09/05/2021,Sun,87,11,30,22
09/06/2021,Mon,57,55,17,21
09/07/2021,Tue,83,52,22,15
09/08/2021,Wed,66,10,12,26
09/09/2021,Thu,72,9,36,16
09/10/2021,Fri,90,58,17,10
09/11/2021,Sat,75,24,23,23
09/12/2021,Sun,88,6,40,19
09/13/2021,Mon,77,66,22,14
09/14/2021,Tue,83,41,28,23
09/15/2021,Wed,80,57,16,18
09/16/2021,Thu,63,53,14,15
09/17/2021,Fri,72,6,22,10
09/18/2021,Sat,112,39,25,12
09/19/2021,Sun,87,11,34,23
09/20/2021,Mon,86,69,26,14
09/21/2021,Tue,92,64,17,15
09/22/2021,Wed,90,13,30,12
09/23/2021,Thu,85,49,27,16
09/24/2021,Fri,66,61,17,17
09/25/2021,Sat,69,41,19,22
