date,pos,neg,cough_pos,cough_neg,fever_pos,fever_neg,sorethroat_pos,sorethroat_neg,shortbreath_pos,shortbreath_neg,headache_pos,headache_neg,nosymptoms_pos,nosymptoms_neg,ageover60,agebelow60,agenull
11-Mar-2020,42,320,11,108,13,47,13,29,0,32,6,5,16,174,0,0,365
12-Mar-2020,38,596,15,235,12,136,6,60,7,48,3,7,10,293,0,0,636
13-Mar-2020,36,704,15,249,11,161,5,54,3,70,4,11,13,367,0,0,740
14-Mar-2020,47,679,21,132,16,69,6,16,4,55,8,4,16,500,0,0,732
15-Mar-2020,61,956,31,67,21,37,13,18,10,23,9,6,16,860,0,0,1112
16-Mar-2020,94,1334,36,100,41,62,9,33,9,36,17,17,34,1184,0,0,1461
17-Mar-2020,95,1411,53,59,56,35,13,12,20,12,19,7,20,1332,0,0,1534
18-Mar-2020,139,1927,69,67,74,50,28,14,18,12,40,10,33,1826,0,0,2095
19-Mar-2020,152,2103,81,90,83,56,21,18,38,17,27,18,32,1971,0,0,2273
20-Mar-2020,172,1726,98,64,98,53,22,15,41,11,44,15,33,1638,293,1482,135
21-Mar-2020,208,1541,84,180,99,93,28,9,34,4,45,12,72,1333,0,0,1760
22-Mar-2020,268,3311,156,721,139,308,45,25,41,13,73,26,46,2505,566,2880,160
23-Mar-2020,403,3193,212,785,189,334,59,19,66,12,101,26,97,2354,642,2840,149
24-Mar-2020,380,4537,206,734,206,360,55,25,74,9,92,27,79,3714,717,4071,190
25-Mar-2020,492,5064,270,965,247,478,75,36,66,17,116,35,101,3980,853,4581,210
26-Mar-2020,529,5929,286,720,250,333,89,32,48,7,113,50,118,5104,912,5484,240
27-Mar-2020,520,5277,253,478,246,246,61,29,46,16,103,52,138,4710,889,4903,167
28-Mar-2020,444,5314,192,516,198,230,66,20,42,7,106,27,125,4737,886,4745,215
29-Mar-2020,428,4828,194,326,188,142,60,18,41,10,78,34,124,4434,750,4370,198
30-Mar-2020,604,5348,256,351,265,161,76,33,57,9,115,58,189,4929,802,4995,211
31-Mar-2020,740,6760,343,241,331,152,118,25,78,8,174,45,201,6435,1108,6220,231
01-Apr-2020,711,8315,312,490,320,217,96,37,72,15,140,70,203,7724,1519,7359,216
02-Apr-2020,600,8065,268,748,248,326,75,51,42,17,128,76,195,7185,1315,7184,246
03-Apr-2020,499,7798,221,326,192,154,63,43,31,20,90,63,176,7380,1070,7031,289
04-Apr-2020,464,5056,173,283,144,127,58,29,35,16,68,46,203,4699,983,4347,246
05-Apr-2020,541,7436,255,1245,209,520,86,28,47,19,107,50,162,6019,1387,6460,181
06-Apr-2020,401,5242,168,1355,142,544,50,35,26,17,75,47,144,3711,922,4540,205
07-Apr-2020,433,5352,179,1566,134,683,54,29,36,15,73,52,166,3571,961,4648,216
08-Apr-2020,279,3938,137,1282,113,544,33,20,13,3,46,29,83,2512,707,3371,173
09-Apr-2020,296,4456,140,1895,102,771,45,21,19,7,59,36,97,2352,740,3886,154
10-Apr-2020,351,5601,163,1785,124,794,47,23,35,10,60,39,110,3570,1366,4473,180
11-Apr-2020,322,4383,159,1536,115,725,25,24,21,8,33,46,113,2608,1230,3378,163
12-Apr-2020,296,5759,112,913,82,426,17,16,25,9,34,37,138,4685,1738,4053,363
13-Apr-2020,418,7811,163,1570,125,753,39,36,21,26,83,58,168,5999,1976,6082,655
14-Apr-2020,343,6401,151,1230,113,550,36,27,19,8,58,38,115,4984,1942,4609,334
15-Apr-2020,253,7233,111,1526,77,745,29,21,17,11,54,52,88,5461,0,0,7568
16-Apr-2020,249,9288,85,1285,70,627,29,33,17,26,45,65,103,7764,0,0,9601
17-Apr-2020,187,7372,68,1252,49,623,28,27,8,13,35,40,69,5902,0,0,7691
18-Apr-2020,256,6439,95,1024,71,529,27,27,12,24,61,49,104,5205,0,0,6733
19-Apr-2020,293,10280,88,1469,73,787,31,35,22,18,48,56,141,8541,2838,7381,445
20-Apr-2020,210,10504,72,1041,61,576,26,37,10,30,42,67,86,9231,0,0,10825
21-Apr-2020,228,9299,79,937,63,543,25,46,17,26,57,82,95,8147,0,0,9673
22-Apr-2020,205,9216,60,1023,67,588,24,36,17,22,46,77,85,7916,0,0,9695
23-Apr-2020,251,9385,78,995,68,588,30,30,21,19,43,55,123,8122,0,0,9867
24-Apr-2020,166,7200,42,722,31,415,11,26,5,11,32,42,94,6292,0,0,7418
25-Apr-2020,56,4771,12,426,18,246,5,11,2,7,14,25,26,4234,0,0,4851
26-Apr-2020,106,7259,27,521,15,336,15,24,5,19,17,60,64,6561,0,0,7418
27-Apr-2020,122,6870,30,510,27,324,18,25,7,13,21,54,60,6210,0,0,7084
28-Apr-2020,77,5977,18,508,18,328,5,23,6,13,17,56,39,5323,0,0,6100
29-Apr-2020,92,4530,27,459,16,264,10,10,5,6,20,24,48,3957,0,0,4659
30-Apr-2020,93,6541,20,296,20,192,10,22,5,13,21,46,46,6128,0,0,6676
01-May-2020,75,5768,11,187,9,130,9,24,3,11,14,37,45,5488,0,0,5884
02-May-2020,18,2375,4,36,5,25,1,8,0,5,4,14,10,2318,0,0,2429
03-May-2020,40,5855,14,73,6,50,3,16,0,7,4,31,24,5739,0,0,5954
04-May-2020,37,5536,8,86,10,62,2,24,2,11,6,42,24,5401,0,0,5666
