date,hospital,care_home,home,other,Cum
06-Mar-2020,1,1,0,0,2
13-Mar-2020,13,0,4,0,19
20-Mar-2020,147,9,10,0,185
27-Mar-2020,610,45,52,14,906
03-Apr-2020,1215,132,143,27,2423
10-Apr-2020,1492,282,161,32,4390
17-Apr-2020,1076,294,101,28,5889
24-Apr-2020,668,210,71,35,6873
01-May-2020,345,125,43,14,7400
08-May-2020,260,93,29,16,7798
15-May-2020,151,51,22,5,8027
22-May-2020,93,51,10,3,8184
29-May-2020,61,25,7,6,8283
05-Jun-2020,53,23,4,1,8364
12-Jun-2020,27,11,9,3,8414
19-Jun-2020,22,7,6,2,8451
26-Jun-2020,14,14,5,1,8485
03-Jul-2020,10,5,2,5,8507
10-Jul-2020,15,3,0,1,8526
17-Jul-2020,8,7,2,0,8543
24-Jul-2020,14,1,0,2,8560
31-Jul-2020,6,2,1,0,8569
07-Aug-2020,6,2,0,1,8578
14-Aug-2020,7,4,2,1,8592
21-Aug-2020,3,0,0,0,8595
28-Aug-2020,1,2,0,0,8598
04-Sep-2020,3,0,1,0,8602
11-Sep-2020,7,2,0,1,8612
18-Sep-2020,9,2,1,0,8624
25-Sep-2020,23,3,3,0,8653
02-Oct-2020,27,3,2,0,8685
09-Oct-2020,36,3,2,0,8726
16-Oct-2020,41,0,2,0,8769
23-Oct-2020,47,4,4,0,8824
30-Oct-2020,86,3,4,1,8918
06-Nov-2020,90,7,4,2,9021
13-Nov-2020,107,11,7,2,9148
20-Nov-2020,159,5,7,4,9323
27-Nov-2020,172,8,13,5,9521
04-Dec-2020,184,10,9,9,9733
11-Dec-2020,175,5,6,4,9923
