state_name,pop,state
Acre,881935,AC
Alagoas,3337357,AL
Amazonas,4144597,AM
Amapá,845731,AP
Bahia,14873064,BA
Ceará,9132078,CE
Distrito Federal,3015268,DF
Espírito Santo,4018650,ES
Goiás,7018354,GO
Maranhão,7075181,MA
Minas Gerais,21168791,MG
Mato Grosso do Sul,2778986,MS
Mato Grosso,3484466,MT
Pará,8602865,PA
Paraíba,4018127,PB
Pernambuco,9557071,PE
Piauí,3273227,PI
Paraná,11433957,PR
Rio de Janeiro,17264943,RJ
Rio Grande do Norte,3506853,RN
Rondônia,1777225,RO
Roraima,605761,RR
Rio Grande do Sul,11377239,RS
Santa Catarina,7164788,SC
Sergipe,2298696,SE
São Paulo,45919049,SP
Tocantins,1572866,TO
