"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_CasesPer1M_pop,DeathsPer1M_pop,TotalTests,TestsPer_1M_pop_,Population,Continent,1_Caseevery_X_ppl,1_Deathevery_X_ppl,1_Testevery_X_ppl
Afghanistan,43035,66,1605 ,10,35067,31,6363,93,1097,41,128643,3278,39247168 ,Asia,912,24453,305
Albania,26701,,605 ,,12667,,13429,17,9282,210,146341,50872,2876624 ,Europe,108,4755,20
Algeria,65975,,2124 ,,43779,,20072,52,1495,48,,,44140544 ,Africa,669,20782,
Andorra,5725,,75 ,,4675,,975,20,74052,970,154640,2000233,77311 ,Europe,14,1031,0
Angola,13228,,317 ,,6326,,6585,34,398,10,171247,5153,33234141 ,Africa,2512,104840,194
Antigua and Barbuda,133,,4 ,1,124,,5,,1354,41,4038,41108,98229 ,North America,739,24557,24
Argentina,1296378,,35045 ,,1110477,,150856,4381,28587,773,3409487,75183,45348955 ,South America,35,1294,13
Armenia,115855,1472,1738 ,41,74105,1989,40012,,39070,586,460606,155332,2965305 ,Asia,26,1706,6
Aruba,4650,,43 ,,4511,,96,4,43485,402,43623,407943,106934 ,North America,23,2487,2
Australia,27711,8,907 ,,25478,8,1326,,1082,35,9347701,365018,25608866 ,Australia/Oceania,924,28235,3
Austria,191228,,1661 ,,112728,,76839,567,21188,184,2607733,288931,9025451 ,Europe,47,5434,3
Azerbaijan,73429,1849,946 ,19,54049,1048,18434,,7218,93,1502707,147716,10172938 ,Asia,139,10754,7
Bahamas,7163,,155 ,,5282,,1726,2,18151,393,39379,99787,394631 ,North America,55,2546,10
Bahrain,84349,,332 ,,82038,,1979,26,48962,193,1885616,1094533,1722759 ,Asia,20,5189,1
Bangladesh,430496,1531,6173 ,14,347849,1462,76474,,2604,37,2527134,15289,165294872 ,Asia,384,26777,65
Barbados,249,,7 ,,234,,8,,866,24,41360,143858,287506 ,North America,1155,41072,7
Belarus,111622,,1033 ,,93570,,17019,,11814,109,2814373,297875,9448163 ,Europe,85,9146,3
Belgium,525012,4619,14106 ,215,32033,661,478873,1457,45227,1215,5419308,466846,11608351 ,Europe,22,823,2
Belize,4715,119,85 ,10,2539,26,2091,4,11780,212,26744,66815,400267 ,North America,85,4709,15
Benin,2844,,43 ,,2515,,286,,232,4,269280,22003,12238159 ,Africa,4303,284608,45
Bermuda,222,,9 ,,189,,24,,3570,145,95919,1542304,62192 ,North America,280,6910,1
Bhutan,369,, ,,348,3,21,,476,,187430,241926,774740 ,Asia,2100,,4
Bolivia,143069,180,8835 ,10,116505,368,17729,71,12195,753,344354,29353,11731537 ,South America,82,1328,34
Bosnia and Herzegovina,69625,,1808 ,,34491,,33326,,21271,552,366395,111939,3273159 ,Europe,47,1810,9
Botswana,8225,,27 ,,5559,,2639,1,3472,11,330611,139561,2368943 ,Africa,288,87739,7
Brazil,5819496,,164946 ,,5267567,,386983,8318,27306,774,21900000,102760,213118770 ,South America,37,1292,10
Bulgaria,94937,,2055 ,,28269,,64613,288,13702,297,847450,122309,6928787 ,Europe,73,3372,8
Burkina Faso,2609,,68 ,,2413,,128,,124,3,,,21110469 ,Africa,8091,310448,
Burundi,624,,1 ,,549,,74,,52,0.08,56870,4732,12018424 ,Africa,19260,12018424,211
CAR,4888,,62 ,,1924,,2902,2,1006,13,32711,6730,4860492 ,Africa,994,78395,149
Cabo Verde,9741,,102 ,,9076,,563,23,17450,183,101878,182507,558213 ,Africa,57,5473,5
Cambodia,302,1, ,,289,,13,,18,,207148,12327,16803977 ,Asia,55642,,81
Cameroon,22583,,433 ,,21510,,640,41,843,16,149000,5563,26785471 ,Africa,1186,61860,180
Canada,287318,,10828 ,,230646,,45844,294,7588,286,10228547,270136,37864435 ,North America,132,3497,4
Caribbean Netherlands,155,,3 ,,151,,1,,5891,114,3377,128340,26313 ,North America,170,8771,8
Cayman Islands,253,,1 ,,236,,16,1,3833,15,48761,738736,66006 ,North America,261,66006,1
Chad,1589,,100 ,,1435,,54,,96,6,,,16595975 ,Africa,10444,165960,
Channel Islands,1003,,48 ,,813,,142,10,5749,275,165849,950669,174455 ,Europe,174,3634,1
Chile,528030,,14738 ,,503540,,9752,733,27535,769,4741341,247243,19176849 ,South America,36,1301,4
China,86325,18,4634 ,,81303,24,388,3,60,3,160000000,111163,1439323776 ,Asia,16673,310601,9
Colombia,1182697,,33669 ,,1089340,,59688,2376,23153,659,5652986,110663,51082875 ,South America,43,1517,9
Comoros,574,,7 ,,542,,25,,655,8,,,876347 ,Africa,1527,125192,
Congo,5515,,92 ,,3887,,1536,,991,17,,,5567354 ,Africa,1009,60515,
Costa Rica,122123,,1537 ,,74868,,45718,192,23893,301,341594,66831,5111300 ,North America,42,3326,15
Croatia,81844,2866,1006 ,38,63748,2484,17090,184,19983,246,611357,149266,4095765 ,Europe,50,4071,7
Cuba,7541,,131 ,,6965,,445,2,666,12,952505,84114,11324036 ,North America,1502,86443,12
Curaçao,1261,,2 ,,913,,346,1,7673,12,15542,94571,164342 ,North America,130,82171,11
Cyprus,6853,,38 ,,2021,,4794,7,5661,31,528632,436665,1210612 ,Asia,177,31858,2
Czechia,454030,,5926 ,,316352,,131752,1110,42368,553,2728817,254640,10716377 ,Europe,24,1808,4
DRC,11692,,318 ,,10983,,391,,129,4,,,90542010 ,Africa,7744,284723,
Denmark,60000,,756 ,,45705,,13539,40,10345,130,6163499,1062712,5799782 ,Europe,97,7672,1
Diamond Princess,712,,13 ,,659,,40,4,,,,, ,,,,
Djibouti,5641,,61 ,,5509,,71,,5679,61,87829,88424,993275 ,Africa,176,16283,11
