Country_orDependency_,Population_2020_,Density_P_Km__
China,1439323776,153
India,1380004385,464
US,331002651,36
Indonesia,273523615,151
Pakistan,220892340,287
Brazil,212559417,25
Nigeria,206139589,226
Bangladesh,164689383,1265
Russia,145934462,9
Mexico,128932753,66
Japan,126476461,347
Ethiopia,114963588,115
Philippines,109581078,368
Egypt,102334404,103
Vietnam,97338579,314
Congo (Kinshasa),89561403,40
Turkey,84339067,110
Iran,83992949,52
Germany,83783942,240
Thailand,69799978,137
United Kingdom,67886011,281
France,65273511,119
Italy,60461826,206
Tanzania,59734218,67
South Africa,59308690,49
Burma,54409800,83
Kenya,53771296,94
"Korea, South",51269185,527
Colombia,50882891,46
Spain,46754778,94
Uganda,45741007,229
Argentina,45195774,17
Algeria,43851044,18
Sudan,43849260,25
Ukraine,43733762,75
Iraq,40222493,93
Afghanistan,38928346,60
Poland,37846611,124
Canada,37742154,4
Morocco,36910560,83
Saudi Arabia,34813871,16
Uzbekistan,33469203,79
Peru,32971854,26
Angola,32866272,26
Malaysia,32365999,99
Mozambique,31255435,40
Ghana,31072940,137
Nepal,29136808,203
Venezuela,28435940,32
Madagascar,27691018,48
Cameroon,26545863,56
Cote d'Ivoire,26378274,83
Australia,25499884,3
Niger,24206644,19
Taiwan*,23816775,673
Sri Lanka,21413249,341
Burkina Faso,20903273,76
Mali,20250833,17
Romania,19237691,84
Chile,19116201,26
Kazakhstan,18776707,7
Zambia,18383955,25
Guatemala,17915568,167
Ecuador,17643054,71
Syria,17500658,95
Netherlands,17134872,508
Senegal,16743927,87
Cambodia,16718965,95
Chad,16425864,13
Somalia,15893222,25
Guinea,13132795,53
Rwanda,12952218,525
Benin,12123200,108
Burundi,11890784,463
Tunisia,11818619,76
Bolivia,11673021,11
Belgium,11589623,383
Haiti,11402528,414
Cuba,11326616,106
Dominican Republic,10847910,225
Czechia,10708981,139
Greece,10423054,81
Jordan,10203134,115
Portugal,10196709,111
Azerbaijan,10139177,123
Sweden,10099265,25
Honduras,9904607,89
United Arab Emirates,9890402,118
Hungary,9660351,107
Belarus,9449323,47
Austria,9006398,109
Papua New Guinea,8947024,20
Serbia,8737371,100
Israel,9097000,400
Switzerland,8654622,219
Togo,8278724,152
Sierra Leone,7976983,111
Laos,7275560,32
Paraguay,7132538,18
Bulgaria,6948445,64
Libya,6871292,4
Lebanon,6825445,667
Nicaragua,6624554,55
Kyrgyzstan,6524195,34
El Salvador,6486205,313
Singapore,5850342,8358
Denmark,5792202,137
Finland,5540720,18
Congo (Brazzaville),5518087,16
Slovakia,5459642,114
Norway,5421241,15
Oman,5106626,16
West Bank and Gaza,5101414,847
Costa Rica,5094118,100
Liberia,5057681,53
Ireland,4937786,72
Central African Republic,4829767,8
New Zealand,4822233,18
Mauritania,4649658,5
Panama,4314767,58
Kuwait,4270571,240
Croatia,4105267,73
Moldova,4033963,123
Georgia,3989167,57
Eritrea,3546421,35
Uruguay,3473730,20
Bosnia and Herzegovina,3280819,64
Mongolia,3278290,2
Armenia,2963243,104
Jamaica,2961167,273
Qatar,2881053,248
Albania,2877797,105
Lithuania,2722289,43
Namibia,2540905,3
Gambia,2416668,239
Botswana,2351627,4
Gabon,2225734,9
North Macedonia,2083374,83
Slovenia,2078938,103
Guinea-Bissau,1968001,70
Latvia,1886198,30
Bahrain,1701575,2239
Equatorial Guinea,1402985,50
Trinidad and Tobago,1399488,273
Estonia,1326535,31
Timor-Leste,1318445,89
Mauritius,1271768,626
Cyprus,1207359,131
Eswatini,1160164,67
Djibouti,988000,43
Fiji,896445,49
Guyana,786552,4
Bhutan,771608,20
Montenegro,628066,47
Luxembourg,625978,242
Suriname,586632,4
Cabo Verde,555987,138
Maldives,540544,1802
Malta,441543,1380
Brunei,437479,83
Belize,397628,17
Bahamas,393244,39
Iceland,341243,3
Barbados,287375,668
Saint Lucia,183627,301
Grenada,112523,331
Seychelles,98347,214
Antigua and Barbuda,97929,223
Andorra,77265,164
Dominica,71986,96
Monaco,39242,26337
Liechtenstein,38128,238
San Marino,33931,566
Holy See,801,2003
Kosovo,1831463,159
