,period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
0,1_Month,0-9,270120,9357,3.46
1,3_Month,0-9,955124,119540,12.52
2,1_Year,0-9,1356044,225032,16.59
3,All,0-9,1449086,260136,17.95
4,6_Month,0-9,1079432,134871,12.49
5,3_Month,10-19,792192,90993,11.49
6,1_Year,10-19,1252901,216282,17.26
7,All,10-19,1369993,283676,20.71
8,1_Month,10-19,228634,7029,3.07
9,6_Month,10-19,960493,104998,10.93
10,3_Month,20-29,625606,58474,9.35
11,6_Month,20-29,776402,67435,8.69
12,1_Year,20-29,1055348,158575,15.03
13,All,20-29,1173953,220067,18.75
14,1_Month,20-29,200751,2619,1.3
15,1_Month,30-39,201275,3220,1.6
16,6_Month,30-39,729507,69201,9.49
17,1_Year,30-39,981882,140279,14.29
18,All,30-39,1077162,182821,16.97
19,3_Month,30-39,587337,59457,10.12
20,1_Month,40-49,179494,2375,1.32
21,3_Month,40-49,506136,43541,8.6
22,6_Month,40-49,635474,52887,8.32
23,1_Year,40-49,850952,111384,13.09
24,All,40-49,934071,150070,16.07
25,1_Month,50-59,136671,1058,0.77
26,3_Month,50-59,359085,23080,6.43
27,6_Month,50-59,460160,29355,6.38
28,1_Year,50-59,626722,70358,11.23
29,All,50-59,695116,100412,14.45
30,1_Month,60-69,108077,690,0.64
31,6_Month,60-69,355702,18351,5.16
32,1_Year,60-69,486224,43964,9.04
33,All,60-69,544763,64311,11.81
34,3_Month,60-69,269931,12969,4.8
35,1_Month,70-79,62702,353,0.56
36,3_Month,70-79,153827,6485,4.22
37,6_Month,70-79,206895,9898,4.78
38,1_Year,70-79,283431,22780,8.04
39,All,70-79,321189,32899,10.24
40,1_Month,80-89,26307,177,0.67
41,3_Month,80-89,64674,3272,5.06
42,6_Month,80-89,84707,4744,5.6
43,1_Year,80-89,122329,11688,9.55
44,All,80-89,144593,16878,11.67
45,1_Month,90+,7588,41,0.54
46,3_Month,90+,17640,882,5.0
47,6_Month,90+,22276,1259,5.65
48,1_Year,90+,32620,3533,10.83
49,All,90+,39799,5291,13.29
